,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,-4165745000000.0,1627967000000.0,8684070000000.0,4777925000000.0,
Repurchase Of Capital Stock,-102921000000.0,-3383000000.0,-2314000000.0,-1927000000.0,
Repayment Of Debt,-417000000000.0,-490310000000.0,-579615000000.0,-498000000000.0,
Issuance Of Debt,524500000000.0,499000000000.0,228500000000.0,181410000000.0,
Issuance Of Capital Stock,2864000000.0,2767000000.0,1615000000.0,873000000.0,
Capital Expenditure,-344945000000.0,-257011000000.0,-183176000000.0,-139261000000.0,
Interest Paid Supplemental Data,,,,,497422000000.0
Income Tax Paid Supplemental Data,,,,,216996000000.0
End Cash Position,70723361000000.0,71165815000000.0,65825681000000.0,50136299000000.0,
Beginning Cash Position,71165815000000.0,65825681000000.0,50136299000000.0,46981399000000.0,
Effect Of Exchange Rate Changes,-115716000000.0,1703938000000.0,827611000000.0,620261000000.0,
Changes In Cash,-326738000000.0,3636195000000.0,14861770000000.0,2534640000000.0,
Financing Cash Flow,-299030000000.0,-230990000000.0,-611143000000.0,-522056000000.0,
Cash Flow From Continuing Financing Activities,-299030000000.0,-230989000000.0,-611142000000.0,-522057000000.0,
Net Other Financing Charges,-2048000000.0,-4278000000.0,-49872000000.0,-7629000000.0,
Cash Dividends Paid,-304425000000.0,-234786000000.0,-209457000000.0,-196783000000.0,
Common Stock Dividend Paid,-304425000000.0,-234786000000.0,-209457000000.0,-196783000000.0,
Net Common Stock Issuance,-100057000000.0,-616000000.0,-699000000.0,-1054000000.0,
Common Stock Payments,-102921000000.0,-3383000000.0,-2314000000.0,-1927000000.0,
Common Stock Issuance,2864000000.0,2767000000.0,1615000000.0,873000000.0,
Net Issuance Payments Of Debt,107500000000.0,8690000000.0,-351115000000.0,-316590000000.0,
Net Short Term Debt Issuance,,,,,3253467000000.0
Net Long Term Debt Issuance,107500000000.0,8690000000.0,-351115000000.0,-316590000000.0,
Long Term Debt Payments,-417000000000.0,-490310000000.0,-579615000000.0,-498000000000.0,
Long Term Debt Issuance,524500000000.0,499000000000.0,228500000000.0,181410000000.0,
Investing Cash Flow,3793092000000.0,1982207000000.0,6605667000000.0,-1860490000000.0,
Cash Flow From Continuing Investing Activities,3793091000000.0,1982207000000.0,6605668000000.0,-1860491000000.0,
Net Other Investing Changes,-49018000000.0,-69868000000.0,75565000000.0,-9585000000.0,
Net Investment Purchase And Sale,4095215000000.0,2326714000000.0,6706998000000.0,-1730363000000.0,
Sale Of Investment,64165234000000.0,80378427000000.0,87685244000000.0,100748082000000.0,
Purchase Of Investment,-60070019000000.0,-78051713000000.0,-80978246000000.0,-102478445000000.0,
Net Business Purchase And Sale,2970000000.0,-31221000000.0,-3533000000.0,0.0,
Sale Of Business,2970000000.0,7927000000.0,0.0,0.0,
Purchase Of Business,0.0,-39148000000.0,-3533000000.0,0.0,
Net Intangibles Purchase And Sale,-249884000000.0,-192648000000.0,-118331000000.0,-96484000000.0,
Sale Of Intangibles,125000000.0,1240000000.0,0.0,480000000.0,
Purchase Of Intangibles,-250009000000.0,-193888000000.0,-118331000000.0,-96964000000.0,
Net PPE Purchase And Sale,-6191000000.0,-50770000000.0,-55032000000.0,-24058000000.0,
Sale Of PPE,88745000000.0,12353000000.0,9813000000.0,18239000000.0,
Purchase Of PPE,-94936000000.0,-63123000000.0,-64845000000.0,-42297000000.0,
Operating Cash Flow,-3820800000000.0,1884978000000.0,8867246000000.0,4917186000000.0,
Cash Flow From Continuing Operating Activities,-3820803000000.0,1884975000000.0,8867243000000.0,4917181000000.0,
Taxes Refund Paid,-124107000000.0,-287693000000.0,-133371000000.0,-164408000000.0,
Interest Received Cfo,5907980000000.0,5571589000000.0,3027958000000.0,1424865000000.0,
Interest Paid Cfo,-5043512000000.0,-4756988000000.0,-2028391000000.0,-273855000000.0,
Change In Working Capital,-4326466000000.0,3096686000000.0,7522956000000.0,4943137000000.0,
Change In Other Working Capital,1919568000000.0,278194000000.0,5590700000000.0,4750051000000.0,
Change In Other Current Liabilities,-58715000000.0,221992000000.0,-842483000000.0,979866000000.0,
Change In Other Current Assets,-24666000000.0,481658000000.0,426846000000.0,-342269000000.0,
Change In Payables And Accrued Expense,-32930000000.0,-550220000000.0,366812000000.0,6676000000.0,
Change In Accrued Expense,,,,,-72850000000.0
Change In Payable,-32930000000.0,-550220000000.0,366812000000.0,6676000000.0,
Change In Receivables,,,,,8052000000.0
Other Non Cash Items,-1724643000000.0,-1719138000000.0,148245000000.0,-846197000000.0,
Asset Impairment Charge,23270000000.0,7963000000.0,51545000000.0,27585000000.0,
Deferred Tax,,,,,50701000000.0
Deferred Income Tax,,,,,50701000000.0
Depreciation Amortization Depletion,205922000000.0,178193000000.0,166937000000.0,165638000000.0,
Depreciation And Amortization,205922000000.0,178193000000.0,166937000000.0,165638000000.0,
Amortization Cash Flow,7315000000.0,5020000000.0,3771000000.0,3741000000.0,
Amortization Of Intangibles,7315000000.0,5020000000.0,3771000000.0,3741000000.0,
Depreciation,198607000000.0,173173000000.0,163166000000.0,161897000000.0,
Operating Gains Losses,70672000000.0,-1160669000000.0,-667597000000.0,-963451000000.0,
Pension And Employee Benefit Expense,-21411000000.0,-52738000000.0,-47627000000.0,-74254000000.0,
Earnings Losses From Equity Investments,-46782000000.0,-26221000000.0,-11889000000.0,-25434000000.0,
Gain Loss On Investment Securities,2393000000.0,-24038000000.0,50633000000.0,62305000000.0,
Net Foreign Currency Exchange Gain Loss,160885000000.0,-1061035000000.0,-662938000000.0,-928800000000.0,
Gain Loss On Sale Of PPE,-23674000000.0,3358000000.0,4202000000.0,2647000000.0,
Net Income From Continuing Operations,1190084000000.0,955035000000.0,778964000000.0,603872000000.0,
