,2025-03-31,2024-09-30
Treasury Shares Number,14330534.0,14281104.0
Ordinary Shares Number,469963027.0,470012457.0
Share Issued,484293561.0,484293561.0
Net Debt,886286000000.0,924084000000.0
Total Debt,1349058000000.0,1382230000000.0
Tangible Book Value,1000145000000.0,937349000000.0
Invested Capital,2471312000000.0,2425555000000.0
Working Capital,417184000000.0,673483000000.0
Net Tangible Assets,1000145000000.0,937349000000.0
Capital Lease Obligations,8063000000.0,7788000000.0
Common Stock Equity,1130317000000.0,1051113000000.0
Total Capitalization,2097227000000.0,2279500000000.0
Total Equity Gross Minority Interest,1140095000000.0,1061179000000.0
Minority Interest,9778000000.0,10066000000.0
Stockholders Equity,1130317000000.0,1051113000000.0
Treasury Stock,56550000000.0,56537000000.0
Retained Earnings,265477000000.0,193228000000.0
Additional Paid In Capital,394800000000.0,398648000000.0
Capital Stock,467601000000.0,467601000000.0
Common Stock,467601000000.0,467601000000.0
Total Liabilities Net Minority Interest,2480202000000.0,2435589000000.0
Total Non Current Liabilities Net Minority Interest,1203660000000.0,1467587000000.0
Other Non Current Liabilities,31997000000.0,33979000000.0
Non Current Pension And Other Postretirement Benefit Plans,154691000000.0,160290000000.0
Non Current Deferred Taxes Liabilities,482000000.0,725000000.0
Long Term Debt And Capital Lease Obligation,972741000000.0,1234110000000.0
Long Term Capital Lease Obligation,5831000000.0,5723000000.0
Long Term Debt,966910000000.0,1228387000000.0
Long Term Provisions,43749000000.0,38483000000.0
Current Liabilities,1276542000000.0,968002000000.0
Other Current Liabilities,60668000000.0,57640000000.0
Current Debt And Capital Lease Obligation,376317000000.0,148120000000.0
Current Capital Lease Obligation,2232000000.0,2065000000.0
Current Debt,374085000000.0,146055000000.0
Pensionand Other Post Retirement Benefit Plans Current,60401000000.0,33399000000.0
Current Provisions,10062000000.0,4235000000.0
Payables,242983000000.0,222078000000.0
Total Tax Payable,7471000000.0,5486000000.0
Accounts Payable,235512000000.0,216592000000.0
Total Assets,3620297000000.0,3496768000000.0
Total Non Current Assets,1926571000000.0,1855283000000.0
Other Non Current Assets,38222000000.0,36693000000.0
Defined Pension Benefit,3866000000.0,3547000000.0
Non Current Deferred Assets,431000000.0,481000000.0
Non Current Deferred Taxes Assets,190747000000.0,204125000000.0
Investmentin Financial Assets,150654000000.0,149606000000.0
Available For Sale Securities,150654000000.0,149606000000.0
Goodwill And Other Intangible Assets,130172000000.0,113764000000.0
Other Intangible Assets,116174000000.0,98765000000.0
Goodwill,13998000000.0,14999000000.0
Net PPE,1404955000000.0,1341265000000.0
Gross PPE,1404955000000.0,1341265000000.0
Construction In Progress,251028000000.0,191952000000.0
Other Properties,4041000000.0,3932000000.0
Machinery Furniture Equipment,1023183000000.0,1019688000000.0
Buildings And Improvements,82693000000.0,81693000000.0
Land And Improvements,44010000000.0,44000000000.0
Properties,0.0,0.0
Current Assets,1693726000000.0,1641485000000.0
Other Current Assets,145249000000.0,130313000000.0
Inventory,75844000000.0,65862000000.0
Finished Goods,14519000000.0,14491000000.0
Raw Materials,61325000000.0,51371000000.0
Accounts Receivable,246650000000.0,223605000000.0
Gross Accounts Receivable,246650000000.0,223605000000.0
Cash Cash Equivalents And Short Term Investments,1216418000000.0,1210849000000.0
Other Short Term Investments,761709000000.0,760491000000.0
Cash And Cash Equivalents,454709000000.0,450358000000.0
