,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,72581000000.0,71339000000.0,85088000000.0,101240000000.0,
Repayment Of Debt,-2175000000.0,-2514000000.0,-4983000000.0,-3534000000.0,
Issuance Of Debt,1316000000.0,300000000.0,2837000000.0,4848000000.0,
Capital Expenditure,-95261000000.0,-94421000000.0,-61338000000.0,-63671000000.0,
End Cash Position,408404000000.0,424173000000.0,513592000000.0,513902000000.0,
Other Cash Adjustment Outside Changein Cash,1000000.0,-1000000.0,,1000000.0,-1000000.0
Beginning Cash Position,424173000000.0,513592000000.0,513902000000.0,490039000000.0,
Effect Of Exchange Rate Changes,2432000000.0,2579000000.0,1546000000.0,1695000000.0,
Changes In Cash,-18202000000.0,-91997000000.0,-1856000000.0,22167000000.0,
Financing Cash Flow,-85246000000.0,-95488000000.0,-77836000000.0,-87393000000.0,
Net Other Financing Charges,-10253000000.0,2317000000.0,2804000000.0,-28503000000.0,
Cash Dividends Paid,-39697000000.0,-40482000000.0,-39060000000.0,-38195000000.0,
Common Stock Dividend Paid,,,,-38195000000.0,-37104000000.0
Net Common Stock Issuance,-30012000000.0,-44002000000.0,-29788000000.0,-11241000000.0,
Net Issuance Payments Of Debt,3258000000.0,-4028000000.0,-3421000000.0,-849000000.0,
Net Short Term Debt Issuance,4117000000.0,-1814000000.0,-1275000000.0,-2163000000.0,
Net Long Term Debt Issuance,-859000000.0,-2214000000.0,-2146000000.0,1314000000.0,
Long Term Debt Payments,-2175000000.0,-2514000000.0,-4983000000.0,-3534000000.0,
Long Term Debt Issuance,1316000000.0,300000000.0,2837000000.0,4848000000.0,
Investing Cash Flow,-100798000000.0,-162269000000.0,-70446000000.0,-55351000000.0,
Net Other Investing Changes,-13103000000.0,-16310000000.0,-2647000000.0,-965000000.0,
Net Investment Purchase And Sale,1158000000.0,-23378000000.0,1974000000.0,1569000000.0,
Sale Of Investment,21638000000.0,36804000000.0,53331000000.0,33243000000.0,
Purchase Of Investment,-20480000000.0,-60182000000.0,-51357000000.0,-31674000000.0,
Net Business Purchase And Sale,-945000000.0,-33760000000.0,-19109000000.0,-10000000.0,
Purchase Of Business,-945000000.0,-33760000000.0,-19109000000.0,-10000000.0,
Net Intangibles Purchase And Sale,-17719000000.0,-13132000000.0,-11559000000.0,-10557000000.0,
Purchase Of Intangibles,-17719000000.0,-13132000000.0,-11559000000.0,-10557000000.0,
Net PPE Purchase And Sale,-71224000000.0,-77546000000.0,-43274000000.0,-49580000000.0,
Sale Of PPE,6318000000.0,3743000000.0,6505000000.0,3534000000.0,
Purchase Of PPE,-77542000000.0,-81289000000.0,-49779000000.0,-53114000000.0,
Operating Cash Flow,167842000000.0,165760000000.0,146426000000.0,164911000000.0,
Taxes Refund Paid,-48315000000.0,-44136000000.0,-47501000000.0,-42694000000.0,
Interest Received Cfo,18084000000.0,12721000000.0,11318000000.0,9919000000.0,
Interest Paid Cfo,-1323000000.0,-1087000000.0,-884000000.0,-841000000.0,
Change In Working Capital,-20507000000.0,-16502000000.0,-25181000000.0,-13641000000.0,
Change In Other Current Assets,-5638000000.0,-7825000000.0,-6499000000.0,-6338000000.0,
Change In Payable,-5738000000.0,3093000000.0,1467000000.0,-1597000000.0,
Change In Prepaid Assets,-2627000000.0,3544000000.0,1324000000.0,6732000000.0,
Change In Inventory,758000000.0,-7153000000.0,-9194000000.0,-5337000000.0,
Change In Receivables,-7018000000.0,-7820000000.0,-10985000000.0,-6052000000.0,
Other Non Cash Items,-4837000000.0,-2596000000.0,121000000.0,322000000.0,
Depreciation And Amortization,77242000000.0,71781000000.0,68940000000.0,67460000000.0,
Amortization Cash Flow,6641000000.0,6571000000.0,6426000000.0,5661000000.0,
Depreciation,70601000000.0,65210000000.0,62514000000.0,61799000000.0,
Gain Loss On Investment Securities,-514000000.0,2700000000.0,-1202000000.0,1778000000.0,
Net Foreign Currency Exchange Gain Loss,89000000.0,-609000000.0,-348000000.0,100000000.0,
Gain Loss On Sale Of Business,-21202000000.0,-15050000000.0,-7508000000.0,-2872000000.0,
Net Income From Continuing Operations,174868000000.0,163765000000.0,153367000000.0,152013000000.0,
