,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.306,0.339,0.314,0.312,
Normalized EBITDA,1821038000000.0,1690289000000.0,1785333000000.0,1800344000000.0,
Net Income From Continuing Operation Net Minority Interest,685677000000.0,637874000000.0,679113000000.0,672486000000.0,
Reconciled Depreciation,686788000000.0,687349000000.0,697152000000.0,728101000000.0,
Reconciled Cost Of Revenue,3409577000000.0,3323514000000.0,3260030000000.0,2984589000000.0,
EBITDA,1821038000000.0,1690289000000.0,1785333000000.0,1800344000000.0,
EBIT,1134250000000.0,1002940000000.0,1088181000000.0,1072243000000.0,
Net Interest Income,-19513000000.0,11651000000.0,1517000000.0,2456000000.0,
Interest Expense,29625000000.0,10215000000.0,8658000000.0,7746000000.0,
Interest Income,10112000000.0,21866000000.0,10175000000.0,10202000000.0,
Normalized Income,685677000000.0,637874000000.0,679113000000.0,672486000000.0,
Net Income From Continuing And Discontinued Operation,685677000000.0,637874000000.0,679113000000.0,672486000000.0,
Total Expenses,4826781000000.0,4802408000000.0,4600582000000.0,4391908000000.0,
Total Operating Income As Reported,1118674000000.0,961584000000.0,1077393000000.0,1060592000000.0,
Diluted Average Shares,,4235832393.0,4369032000.0,4487290000.0,4589454405.0
Basic Average Shares,4049353334.0,4234707562.0,4367214000.0,4482860000.0,
Diluted EPS,,150.59,155.44,149.865,141.955
Basic EPS,,150.63,155.505,150.015,142.08
Diluted NI Availto Com Stockholders,685677000000.0,637874000000.0,679113000000.0,672486000000.0,
Net Income Common Stockholders,685677000000.0,637874000000.0,679113000000.0,672486000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,685677000000.0,637874000000.0,679113000000.0,672486000000.0,
Minority Interests,-80430000000.0,-18230000000.0,-60926000000.0,-60054000000.0,
Net Income Including Noncontrolling Interests,766107000000.0,656104000000.0,740039000000.0,732540000000.0,
Net Income Continuous Operations,766107000000.0,656104000000.0,740039000000.0,732540000000.0,
Tax Provision,338517000000.0,336621000000.0,339484000000.0,331957000000.0,
Pretax Income,1104625000000.0,992725000000.0,1079523000000.0,1064497000000.0,
Other Non Operating Income Expenses,5464000000.0,19490000000.0,612000000.0,1448000000.0,
Net Non Operating Interest Income Expense,-19513000000.0,11651000000.0,1517000000.0,2456000000.0,
Interest Expense Non Operating,29625000000.0,10215000000.0,8658000000.0,7746000000.0,
Interest Income Non Operating,10112000000.0,21866000000.0,10175000000.0,10202000000.0,
Operating Income,1091172000000.0,951639000000.0,1071179000000.0,1054800000000.0,
Operating Expense,1417204000000.0,1478894000000.0,1340552000000.0,1407319000000.0,
Other Operating Expenses,2993000000.0,8165000000.0,3790000000.0,5781000000.0,
Selling General And Administration,1426974000000.0,1503680000000.0,1408391000000.0,1422539000000.0,
General And Administrative Expense,1426974000000.0,1503680000000.0,1408391000000.0,1422539000000.0,
Gross Profit,2508376000000.0,2430533000000.0,2411731000000.0,2462119000000.0,
Cost Of Revenue,3409577000000.0,3323514000000.0,3260030000000.0,2984589000000.0,
Total Revenue,5917953000000.0,5754047000000.0,5671762000000.0,5446708000000.0,
Operating Revenue,5917953000000.0,5754047000000.0,5671762000000.0,5446708000000.0,
