,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,3765000.0,62775000.0,-121800000.0,1030338931.981394,
Tax Rate For Calcs,0.251,0.279,0.28,0.291633,
Normalized EBITDA,297900000000.0,546573000000.0,612354000000.0,681664000000.0,
Total Unusual Items,15000000.0,225000000.0,-435000000.0,3533000000.0,
Total Unusual Items Excluding Goodwill,15000000.0,225000000.0,-435000000.0,3533000000.0,
Net Income From Continuing Operation Net Minority Interest,278806000000.0,490602000000.0,432768000000.0,477691000000.0,
Reconciled Depreciation,15361000000.0,17856000000.0,11040000000.0,10527000000.0,
Reconciled Cost Of Revenue,454754000000.0,717530000000.0,716237000000.0,749299000000.0,
EBITDA,297915000000.0,546798000000.0,611919000000.0,685197000000.0,
EBIT,282554000000.0,528942000000.0,600879000000.0,674670000000.0,
Net Interest Income,56176000000.0,51412000000.0,25377000000.0,3036000000.0,
Interest Expense,,166000000.0,122000000.0,281000000.0,177000000.0
Interest Income,56176000000.0,51412000000.0,25499000000.0,3317000000.0,
Normalized Income,278794765000.0,490439775000.0,433081200000.0,475188338931.9814,
Net Income From Continuing And Discontinued Operation,278806000000.0,490602000000.0,432768000000.0,477691000000.0,
Total Expenses,882368000000.0,1142923000000.0,1097302000000.0,1102582000000.0,
Total Operating Income As Reported,282553000000.0,528941000000.0,504375000000.0,592760000000.0,
Diluted Average Shares,1164262747.0,1164246897.0,1165213000.0,1180448000.0,
Basic Average Shares,1164262747.0,1164246897.0,1165213000.0,1180448000.0,
Diluted EPS,239.47,421.39,371.41,404.67,
Basic EPS,239.47,421.39,371.41,404.67,
Diluted NI Availto Com Stockholders,278806000000.0,490602000000.0,432768000000.0,477691000000.0,
Net Income Common Stockholders,278806000000.0,490602000000.0,432768000000.0,477691000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,278806000000.0,490602000000.0,432768000000.0,477691000000.0,
Minority Interests,-46000000.0,-40000000.0,-32000000.0,-22000000.0,
Net Income Including Noncontrolling Interests,278852000000.0,490642000000.0,432800000000.0,477714000000.0,
Net Income Continuous Operations,278853000000.0,490642000000.0,432800000000.0,477715000000.0,
Tax Provision,93478000000.0,190080000000.0,167957000000.0,196674000000.0,
Pretax Income,372331000000.0,680722000000.0,600757000000.0,674389000000.0,
Other Non Operating Income Expenses,6375000000.0,8454000000.0,5122000000.0,2760000000.0,
Special Income Charges,-57000000.0,-375000000.0,-334000000.0,3228000000.0,
Other Special Charges,57000000.0,375000000.0,334000000.0,-3228000000.0,
Net Non Operating Interest Income Expense,56176000000.0,51412000000.0,25377000000.0,3036000000.0,
Interest Expense Non Operating,,166000000.0,122000000.0,281000000.0,177000000.0
Interest Income Non Operating,56176000000.0,51412000000.0,25499000000.0,3317000000.0,
Operating Income,282554000000.0,528942000000.0,504375000000.0,592761000000.0,
Operating Expense,427614000000.0,425393000000.0,381065000000.0,353283000000.0,
Gross Profit,710168000000.0,954335000000.0,885440000000.0,946044000000.0,
Cost Of Revenue,454754000000.0,717530000000.0,716237000000.0,749299000000.0,
Total Revenue,1164922000000.0,1671865000000.0,1601677000000.0,1695344000000.0,
Operating Revenue,1164922000000.0,1671865000000.0,1601677000000.0,1695344000000.0,
