,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,99483468000.0,59685168000.0,40118085000.0,3891127000.0
Tax Rate For Calcs,0.228,0.248,0.243,0.223
Normalized EBITDA,1598481000000.0,1912399000000.0,2214207000000.0,1867392000000.0
Total Unusual Items,436331000000.0,240666000000.0,165095000000.0,17449000000.0
Total Unusual Items Excluding Goodwill,436331000000.0,240666000000.0,165095000000.0,17449000000.0
Net Income From Continuing Operation Net Minority Interest,950709000000.0,964034000000.0,1180694000000.0,937529000000.0
Reconciled Depreciation,470768000000.0,599330000000.0,583294000000.0,545043000000.0
Reconciled Cost Of Revenue,16781207000000.0,17207892000000.0,19012011000000.0,15114064000000.0
EBITDA,2034812000000.0,2153065000000.0,2379302000000.0,1884841000000.0
EBIT,1564044000000.0,1553735000000.0,1796008000000.0,1339798000000.0
Net Interest Income,171977000000.0,114233000000.0,88265000000.0,139850000000.0
Interest Expense,170619000000.0,191141000000.0,115377000000.0,46682000000.0
Interest Income,342596000000.0,305374000000.0,203642000000.0,186532000000.0
Normalized Income,613861468000.0,783053168000.0,1055717085000.0,923971127000.0
Net Income From Continuing And Discontinued Operation,950709000000.0,964034000000.0,1180694000000.0,937529000000.0
Total Expenses,18246504000000.0,18900174000000.0,20619529000000.0,16546103000000.0
Diluted Average Shares,4031844784.0,4335270045.0,4396388144.0,4445688000.0
Basic Average Shares,4011938220.0,4189630595.0,4376782976.0,4428837000.0
Diluted EPS,235.8,222.37,268.56,208.576667
Basic EPS,236.97,230.1,269.76,211.686667
Diluted NI Availto Com Stockholders,950709000000.0,964034000000.0,1180694000000.0,937529000000.0
Net Income Common Stockholders,950709000000.0,964034000000.0,1180694000000.0,937529000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,950709000000.0,964034000000.0,1180694000000.0,937529000000.0
Minority Interests,-125537000000.0,-60824000000.0,-90805000000.0,-66930000000.0
Net Income Including Noncontrolling Interests,1076246000000.0,1024858000000.0,1271499000000.0,1004459000000.0
Net Income Continuous Operations,1076246000000.0,1024858000000.0,1271499000000.0,1004459000000.0
Tax Provision,317179000000.0,337736000000.0,409132000000.0,288657000000.0
Pretax Income,1393425000000.0,1362594000000.0,1680631000000.0,1293116000000.0
Other Non Operating Income Expenses,76538000000.0,-104117000000.0,-25353000000.0,23289000000.0
Special Income Charges,130702000000.0,7659000000.0,-31910000000.0,-57805000000.0
Other Special Charges,-134578000000.0,-37215000000.0,272000000.0,-6712000000.0
Impairment Of Capital Assets,3876000000.0,29556000000.0,31638000000.0,64517000000.0
Net Non Operating Interest Income Expense,171977000000.0,114233000000.0,88265000000.0,139850000000.0
Interest Expense Non Operating,170619000000.0,191141000000.0,115377000000.0,46682000000.0
Interest Income Non Operating,342596000000.0,305374000000.0,203642000000.0,186532000000.0
Operating Income,371097000000.0,667427000000.0,952444000000.0,718725000000.0
Operating Expense,1465297000000.0,1692282000000.0,1607518000000.0,1432039000000.0
Selling General And Administration,1465297000000.0,1692282000000.0,1607518000000.0,1432039000000.0
General And Administrative Expense,1465297000000.0,1692282000000.0,1607518000000.0,1432039000000.0
Gross Profit,1836394000000.0,2359709000000.0,2559962000000.0,2150764000000.0
Cost Of Revenue,16781207000000.0,17207892000000.0,19012011000000.0,15114064000000.0
Total Revenue,18617601000000.0,19567601000000.0,21571973000000.0,17264828000000.0
Operating Revenue,18617601000000.0,19567601000000.0,21571973000000.0,17264828000000.0
