,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,294502000000.0,-42765000000.0,586461000000.0,862272000000.0,555867000000.0,
Repurchase Of Capital Stock,-126026000000.0,-93339000000.0,-27939000000.0,-55502000000.0,-150852000000.0,
Repayment Of Debt,-58098000000.0,-25067000000.0,-42881000000.0,-82259000000.0,-28688000000.0,
Issuance Of Debt,7820000000.0,5792000000.0,103268000000.0,-15465000000.0,45220000000.0,
Capital Expenditure,-99785000000.0,-120094000000.0,-111214000000.0,-145439000000.0,-186707000000.0,
End Cash Position,2667965000000.0,2626494000000.0,2980956000000.0,2491949000000.0,1728710000000.0,
Beginning Cash Position,2626494000000.0,2980956000000.0,2491949000000.0,1728710000000.0,1477098000000.0,
Effect Of Exchange Rate Changes,38589000000.0,-45854000000.0,-68056000000.0,71375000000.0,-76648000000.0,
Changes In Cash,2882000000.0,-308608000000.0,557063000000.0,691864000000.0,328260000000.0,
Financing Cash Flow,-170752000000.0,-212619000000.0,11340000000.0,-182609000000.0,-128506000000.0,
Cash From Discontinued Financing Activities,-6535000000.0,-2718000000.0,,,-2665000000.0,-2496000000.0
Cash Flow From Continuing Financing Activities,-164217000000.0,-209901000000.0,11340000000.0,-187770000000.0,-125841000000.0,
Net Other Financing Charges,12380000000.0,-37371000000.0,7703000000.0,25552000000.0,33723000000.0,
Cash Dividends Paid,-339000000.0,-59870000000.0,-226000000.0,-60096000000.0,-480000000.0,
Common Stock Dividend Paid,-339000000.0,-59870000000.0,-226000000.0,-60096000000.0,-480000000.0,
Net Common Stock Issuance,-126026000000.0,-93339000000.0,-27939000000.0,-55502000000.0,-150852000000.0,
Common Stock Payments,-126026000000.0,-93339000000.0,-27939000000.0,-55502000000.0,-150852000000.0,
Net Issuance Payments Of Debt,-50232000000.0,-19321000000.0,31802000000.0,-97724000000.0,-8232000000.0,
Net Short Term Debt Issuance,3178000000.0,-46000000.0,-49477000000.0,-19518000000.0,15646000000.0,
Short Term Debt Issuance,,,,-19518000000.0,15666000000.0,24983000000.0
Net Long Term Debt Issuance,-53410000000.0,-19275000000.0,81279000000.0,-78206000000.0,-23878000000.0,
Long Term Debt Payments,-58098000000.0,-25067000000.0,-42881000000.0,-82259000000.0,-28688000000.0,
Long Term Debt Issuance,4688000000.0,5792000000.0,124160000000.0,4053000000.0,4810000000.0,
Investing Cash Flow,-220653000000.0,-173318000000.0,-151952000000.0,-133238000000.0,-285808000000.0,
Cash From Discontinued Investing Activities,-5659000000.0,-10622000000.0,,,-7007000000.0,-7795000000.0
Cash Flow From Continuing Investing Activities,-214994000000.0,-162696000000.0,-151952000000.0,-148040000000.0,-278801000000.0,
Net Other Investing Changes,2107000000.0,74000000.0,3484000000.0,17930000000.0,26661000000.0,
Net Investment Purchase And Sale,-70210000000.0,-32268000000.0,-43165000000.0,-1101000000.0,-22879000000.0,
Sale Of Investment,4050000000.0,4415000000.0,9982000000.0,3265000000.0,2397000000.0,
Purchase Of Investment,-74260000000.0,-36683000000.0,-53147000000.0,-4366000000.0,-25276000000.0,
Net Business Purchase And Sale,-47813000000.0,-12217000000.0,-2858000000.0,-26467000000.0,-96907000000.0,
Sale Of Business,3464000000.0,0.0,,,-205000000.0,1609000000.0
Purchase Of Business,-51277000000.0,-12217000000.0,-2858000000.0,-25063000000.0,-96702000000.0,
Net PPE Purchase And Sale,-99078000000.0,-118285000000.0,-109413000000.0,-138402000000.0,-185676000000.0,
