,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,137182000000.0,89978000000.0,239226000000.0,180996000000.0,
Repurchase Of Capital Stock,-6960000000.0,-10735000000.0,-60556000000.0,-50717000000.0,
Repayment Of Debt,-52073000000.0,-25379000000.0,-50000000000.0,-30000000000.0,
Issuance Of Debt,200000000000.0,472275000000.0,50000000000.0,0.0,
Capital Expenditure,-57330000000.0,-82497000000.0,-88541000000.0,-76448000000.0,
End Cash Position,188372000000.0,335687000000.0,376840000000.0,315986000000.0,
Other Cash Adjustment Outside Changein Cash,-1000000.0,1000000.0,,,
Beginning Cash Position,335687000000.0,376840000000.0,315986000000.0,326128000000.0,
Effect Of Exchange Rate Changes,8960000000.0,18113000000.0,13210000000.0,11125000000.0,
Changes In Cash,-156274000000.0,-59267000000.0,47644000000.0,-21267000000.0,
Financing Cash Flow,-261367000000.0,614060000000.0,-195623000000.0,-216298000000.0,
Net Other Financing Charges,-23813000000.0,-16539000000.0,-3217000000.0,-2530000000.0,
Cash Dividends Paid,-128993000000.0,-116653000000.0,-100355000000.0,-85236000000.0,
Common Stock Dividend Paid,-128993000000.0,-116653000000.0,-100355000000.0,-85236000000.0,
Net Common Stock Issuance,-6960000000.0,-10735000000.0,-60556000000.0,-50717000000.0,
Common Stock Payments,-6960000000.0,-10735000000.0,-60556000000.0,-50717000000.0,
Net Issuance Payments Of Debt,-88522000000.0,771233000000.0,-15000000000.0,-60000000000.0,
Net Short Term Debt Issuance,-236449000000.0,324337000000.0,-15000000000.0,-30000000000.0,
Net Long Term Debt Issuance,147927000000.0,446896000000.0,0.0,-30000000000.0,
Long Term Debt Payments,-52073000000.0,-25379000000.0,-50000000000.0,-30000000000.0,
Long Term Debt Issuance,200000000000.0,472275000000.0,50000000000.0,0.0,
Investing Cash Flow,-89419000000.0,-845802000000.0,-84500000000.0,-62413000000.0,
Net Other Investing Changes,-53269000000.0,1816000000.0,-13353000000.0,-15868000000.0,
Interest Received Cfi,7101000000.0,8850000000.0,4558000000.0,716000000.0,
Net Investment Purchase And Sale,12920000000.0,0.0,12624000000.0,5576000000.0,
Sale Of Investment,12920000000.0,0.0,12624000000.0,5576000000.0,
Net Business Purchase And Sale,0.0,-784974000000.0,0.0,-670000000.0,
Purchase Of Business,0.0,-784974000000.0,0.0,-670000000.0,
Net Intangibles Purchase And Sale,-19168000000.0,-33438000000.0,-51888000000.0,-21428000000.0,
Sale Of Intangibles,1159000000.0,11003000000.0,212000000.0,24281000000.0,
Purchase Of Intangibles,-20327000000.0,-44441000000.0,-52100000000.0,-45709000000.0,
Net PPE Purchase And Sale,-37003000000.0,-38056000000.0,-36441000000.0,-30739000000.0,
Sale Of PPE,,,,441000000.0,6831000000.0
Purchase Of PPE,-37003000000.0,-38056000000.0,-36441000000.0,-30739000000.0,
Operating Cash Flow,194512000000.0,172475000000.0,327767000000.0,257444000000.0,
Taxes Refund Paid,-85478000000.0,-38112000000.0,-69479000000.0,-42093000000.0,
Change In Working Capital,-166369000000.0,-86518000000.0,-24209000000.0,5956000000.0,
Change In Payable,-11409000000.0,29466000000.0,-12274000000.0,-10101000000.0,
Change In Inventory,-50225000000.0,-60036000000.0,-7086000000.0,24058000000.0,
Change In Receivables,-104735000000.0,-55948000000.0,-4849000000.0,-8001000000.0,
Other Non Cash Items,28425000000.0,35365000000.0,98857000000.0,-17839000000.0,
Depreciation And Amortization,199132000000.0,157840000000.0,105738000000.0,79684000000.0,
Depreciation,199132000000.0,157840000000.0,105738000000.0,79684000000.0,
Net Income From Continuing Operations,31237000000.0,24969000000.0,132361000000.0,156886000000.0,
