,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,361249000000.0,673017000000.0,-75673000000.0,406493000000.0,
Repayment Of Debt,-6026745000000.0,-5916070000000.0,-4886262000000.0,-4598351000000.0,
Issuance Of Debt,6234322000000.0,6459674000000.0,5200809000000.0,5147841000000.0,
End Cash Position,926455000000.0,1235128000000.0,717357000000.0,861825000000.0,
Other Cash Adjustment Outside Changein Cash,-6572000000.0,,1000000.0,2000000.0,-2000000.0
Beginning Cash Position,1235128000000.0,717357000000.0,861825000000.0,454307000000.0,
Effect Of Exchange Rate Changes,1690000000.0,2045000000.0,62000000.0,218000000.0,
Changes In Cash,-303791000000.0,515726000000.0,-144531000000.0,407298000000.0,
Financing Cash Flow,194169000000.0,541499000000.0,319984000000.0,560596000000.0,
Net Other Financing Charges,-13408000000.0,-2105000000.0,5437000000.0,11106000000.0,
Net Issuance Payments Of Debt,207577000000.0,543604000000.0,314547000000.0,549490000000.0,
Net Short Term Debt Issuance,236623000000.0,451041000000.0,34503000000.0,202453000000.0,
Short Term Debt Payments,-5511051000000.0,-5345133000000.0,-4386662000000.0,-4200387000000.0,
Short Term Debt Issuance,5747674000000.0,5796174000000.0,4421165000000.0,4402840000000.0,
Net Long Term Debt Issuance,-29046000000.0,92563000000.0,280044000000.0,347037000000.0,
Long Term Debt Payments,-515694000000.0,-570937000000.0,-499600000000.0,-397964000000.0,
Long Term Debt Issuance,486648000000.0,663500000000.0,779644000000.0,745001000000.0,
Investing Cash Flow,-859209000000.0,-698790000000.0,-388842000000.0,-559791000000.0,
Net Other Investing Changes,-827663000000.0,-689141000000.0,-548228000000.0,-525947000000.0,
Net Business Purchase And Sale,,0.0,-18501000000.0,-1424000000.0,
Purchase Of Business,,0.0,-18501000000.0,-1424000000.0,
Operating Cash Flow,361249000000.0,673017000000.0,-75673000000.0,406493000000.0,
Taxes Refund Paid,-15067000000.0,18651000000.0,4840000000.0,-26686000000.0,
Interest Received Cfo,10976000000.0,5435000000.0,25415000000.0,18952000000.0,
Interest Paid Cfo,-67508000000.0,-56337000000.0,-46967000000.0,-43942000000.0,
Change In Working Capital,-150331000000.0,174843000000.0,-70018000000.0,-8076000000.0,
Change In Other Current Liabilities,,,,,-10434000000.0
Change In Other Current Assets,-90534000000.0,-79182000000.0,-52290000000.0,-100513000000.0,
Change In Accrued Expense,-152188000000.0,260262000000.0,-30593000000.0,,-109583000000.0
Change In Payable,96145000000.0,-186975000000.0,114956000000.0,163053000000.0,
Change In Receivables,-30434000000.0,78805000000.0,-119387000000.0,-69030000000.0,
Other Non Cash Items,139097000000.0,51063000000.0,-45448000000.0,56694000000.0,
Depreciation And Amortization,367517000000.0,358207000000.0,341145000000.0,419203000000.0,
Depreciation,367517000000.0,358207000000.0,341145000000.0,419203000000.0,
Gain Loss On Investment Securities,27542000000.0,27308000000.0,-38545000000.0,28281000000.0,
Gain Loss On Sale Of Business,,0.0,-123331000000.0,0.0,
Net Income From Continuing Operations,198741000000.0,302345000000.0,-111911000000.0,11351000000.0,
