,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,5558161900.0,11661086000.0,-2989371259.775805,4424512500.0,
Tax Rate For Calcs,0.2533,0.2845,0.28093,0.1005,
Total Unusual Items,21943000000.0,40988000000.0,-10641000000.0,44025000000.0,
Total Unusual Items Excluding Goodwill,21943000000.0,40988000000.0,-10641000000.0,44025000000.0,
Net Income From Continuing Operation Net Minority Interest,885433000000.0,678993000000.0,555527000000.0,530479000000.0,
Reconciled Depreciation,205922000000.0,178193000000.0,166937000000.0,165638000000.0,
Net Interest Income,1045255000000.0,887609000000.0,960574000000.0,993456000000.0,
Interest Expense,4954945000000.0,4884924000000.0,2217636000000.0,315550000000.0,
Interest Income,6000200000000.0,5772533000000.0,3178210000000.0,1309006000000.0,
Normalized Income,869048161900.0,649666086000.0,563178628740.2242,490878512500.0,
Net Income From Continuing And Discontinued Operation,885433000000.0,678993000000.0,555527000000.0,530479000000.0,
Diluted Average Shares,2528304000.0,2534675000.0,2534355000.0,2534962000.0,
Basic Average Shares,2528302000.0,2534673000.0,2534340000.0,2534897000.0,
Diluted EPS,350.2,267.88,219.19,209.26,
Basic EPS,350.2,267.88,219.2,209.27,
Diluted NI Availto Com Stockholders,885433000000.0,678993000000.0,555527000000.0,530479000000.0,
Net Income Common Stockholders,885433000000.0,678993000000.0,555527000000.0,530479000000.0,
Net Income,885433000000.0,678993000000.0,555527000000.0,530479000000.0,
Minority Interests,-3234000000.0,-4305000000.0,-4602000000.0,-12703000000.0,
Net Income Including Noncontrolling Interests,888667000000.0,683299000000.0,560130000000.0,543183000000.0,
Net Income Continuous Operations,888668000000.0,683300000000.0,560130000000.0,543184000000.0,
Tax Provision,301416000000.0,271735000000.0,218834000000.0,60688000000.0,
Pretax Income,1190084000000.0,955035000000.0,778964000000.0,603872000000.0,
Special Income Charges,21943000000.0,40988000000.0,-10641000000.0,44025000000.0,
Gain On Sale Of Business,,0.0,-2301000000.0,0.0,-3320000000.0
Other Special Charges,-45213000000.0,-48951000000.0,-43205000000.0,-71610000000.0,
Impairment Of Capital Assets,23270000000.0,7963000000.0,51545000000.0,27585000000.0,
Gain On Sale Of Security,161293000000.0,61104000000.0,98089000000.0,29557000000.0,
Selling General And Administration,1840702000000.0,1663951000000.0,1445283000000.0,1392896000000.0,
General And Administrative Expense,1840702000000.0,1663951000000.0,1445283000000.0,1392896000000.0,
Other Gand A,1840702000000.0,1663951000000.0,1445283000000.0,1392896000000.0,
Salaries And Wages,,,,,685692000000.0
Total Revenue,3645206000000.0,2971068000000.0,2670039000000.0,2519461000000.0,
Operating Revenue,3645206000000.0,2971068000000.0,2670039000000.0,2519461000000.0,
Occupancy And Equipment,,,,,206470000000.0
Other Non Interest Expense,631546000000.0,312992000000.0,357744000000.0,357053000000.0,
