,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,243368000.0,3089436501.261564,53848000.0,5064906000.0
Tax Rate For Calcs,0.232,0.317354,0.254,0.209
Normalized EBITDA,246997000000.0,185079000000.0,246666000000.0,217285000000.0
Total Unusual Items,1049000000.0,9735000000.0,212000000.0,24234000000.0
Total Unusual Items Excluding Goodwill,1049000000.0,9735000000.0,212000000.0,24234000000.0
Net Income From Continuing Operation Net Minority Interest,50747000000.0,17045000000.0,98714000000.0,124086000000.0
Reconciled Depreciation,199132000000.0,157840000000.0,105738000000.0,79684000000.0
Reconciled Cost Of Revenue,349206000000.0,292485000000.0,288353000000.0,253009000000.0
EBITDA,248046000000.0,194814000000.0,246878000000.0,241519000000.0
EBIT,48914000000.0,36974000000.0,141140000000.0,161835000000.0
Net Interest Income,-9803000000.0,-550000000.0,-669000000.0,1200000000.0
Interest Expense,17677000000.0,12005000000.0,8779000000.0,4949000000.0
Interest Income,7874000000.0,11455000000.0,8110000000.0,6149000000.0
Normalized Income,49941368000.0,10399436501.261564,98555848000.0,104916906000.0
Net Income From Continuing And Discontinued Operation,50747000000.0,17045000000.0,98714000000.0,124086000000.0
Total Expenses,1872075000000.0,1584725000000.0,1387062000000.0,1165200000000.0
Total Operating Income As Reported,41039000000.0,25518000000.0,133029000000.0,155686000000.0
Diluted Average Shares,1796990085.0,1799894403.0,1825061000.0,1850602000.0
Basic Average Shares,1790017637.0,1792323870.0,1820019333.0,1849713000.0
Diluted EPS,28.24,9.47,54.09,67.05
Basic EPS,28.35,9.51,54.24,67.08
Diluted NI Availto Com Stockholders,50747000000.0,17045000000.0,98714000000.0,124086000000.0
Net Income Common Stockholders,50747000000.0,17045000000.0,98714000000.0,124086000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,50747000000.0,17045000000.0,98714000000.0,124086000000.0
Net Income Including Noncontrolling Interests,50747000000.0,17045000000.0,98714000000.0,124086000000.0
Net Income Continuous Operations,50747000000.0,17045000000.0,98714000000.0,124086000000.0
Tax Provision,-19510000000.0,7924000000.0,33647000000.0,32800000000.0
Pretax Income,31237000000.0,24969000000.0,132361000000.0,156886000000.0
Special Income Charges,1049000000.0,9735000000.0,212000000.0,24234000000.0
Other Special Charges,-1049000000.0,-9735000000.0,-212000000.0,-24234000000.0
Net Non Operating Interest Income Expense,-9803000000.0,-550000000.0,-669000000.0,1200000000.0
Interest Expense Non Operating,17677000000.0,12005000000.0,8779000000.0,4949000000.0
Interest Income Non Operating,7874000000.0,11455000000.0,8110000000.0,6149000000.0
Operating Income,40248000000.0,18947000000.0,131557000000.0,130963000000.0
Operating Expense,1522869000000.0,1292240000000.0,1098709000000.0,912191000000.0
Other Operating Expenses,235768000000.0,167814000000.0,157515000000.0,104314000000.0
Depreciation And Amortization In Income Statement,136762000000.0,98820000000.0,38436000000.0,28283000000.0
Amortization,136762000000.0,98820000000.0,38436000000.0,28283000000.0
Depreciation Income Statement,0.0,0.0,0.0,0.0
Research And Development,327651000000.0,294187000000.0,276128000000.0,246010000000.0
Selling General And Administration,843032000000.0,740110000000.0,630272000000.0,548840000000.0
General And Administrative Expense,843032000000.0,740110000000.0,630272000000.0,548840000000.0
Gross Profit,1563117000000.0,1311187000000.0,1230266000000.0,1043154000000.0
Cost Of Revenue,349206000000.0,292485000000.0,288353000000.0,253009000000.0
Total Revenue,1912323000000.0,1603672000000.0,1518619000000.0,1296163000000.0
Operating Revenue,1912323000000.0,1603672000000.0,1518619000000.0,1296163000000.0
