,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,117104000000.0,180153000000.0,332930000000.0,-209777000000.0,
Repurchase Of Capital Stock,,,,-16000000.0,
Repayment Of Debt,-144295000000.0,-114633000000.0,-132775000000.0,-72702000000.0,
Issuance Of Debt,15786000000.0,,0.0,169799000000.0,827988000000.0
Issuance Of Capital Stock,,,,,296197000000.0
Capital Expenditure,-255930000000.0,-240469000000.0,-116892000000.0,-133364000000.0,
End Cash Position,862718000000.0,1002512000000.0,1113481000000.0,621037000000.0,
Other Cash Adjustment Outside Changein Cash,,,,-163000000.0,-236000000.0
Beginning Cash Position,1002512000000.0,1113481000000.0,882329000000.0,370322000000.0,
Effect Of Exchange Rate Changes,982000000.0,3979000000.0,2539000000.0,3626000000.0,
Changes In Cash,-140776000000.0,-114948000000.0,228613000000.0,247252000000.0,
Financing Cash Flow,-170154000000.0,-136045000000.0,-142909000000.0,93646000000.0,
Net Other Financing Charges,-8628000000.0,-1126000000.0,1545000000.0,-424000000.0,
Cash Dividends Paid,-23521000000.0,,,,
Net Common Stock Issuance,-38000000.0,-9339000000.0,-15000000.0,-16000000.0,
Common Stock Payments,,,,-16000000.0,
Common Stock Issuance,,,,,296197000000.0
Net Issuance Payments Of Debt,-135760000000.0,-122633000000.0,-140675000000.0,97097000000.0,
Net Short Term Debt Issuance,-7251000000.0,-8000000000.0,-7900000000.0,0.0,
Net Long Term Debt Issuance,-128509000000.0,-114633000000.0,-132775000000.0,97097000000.0,
Long Term Debt Payments,-144295000000.0,-114633000000.0,-132775000000.0,-72702000000.0,
Long Term Debt Issuance,15786000000.0,,0.0,169799000000.0,827988000000.0
Investing Cash Flow,-343656000000.0,-399525000000.0,-78300000000.0,230019000000.0,
Net Other Investing Changes,-919000000.0,-1795000000.0,-2146000000.0,-727000000.0,
Net Investment Purchase And Sale,-98759000000.0,-186432000000.0,-1979000000.0,277055000000.0,
Sale Of Investment,1295986000000.0,344311000000.0,153016000000.0,1189419000000.0,
Purchase Of Investment,-1394745000000.0,-530743000000.0,-154995000000.0,-912364000000.0,
Net Intangibles Purchase And Sale,-39071000000.0,-38403000000.0,-23442000000.0,-12773000000.0,
Purchase Of Intangibles,-39071000000.0,-38403000000.0,-23442000000.0,-12773000000.0,
Net PPE Purchase And Sale,-199304000000.0,-172895000000.0,-50733000000.0,-33536000000.0,
Sale Of PPE,17555000000.0,29171000000.0,42717000000.0,87055000000.0,
Purchase Of PPE,-216859000000.0,-202066000000.0,-93450000000.0,-120591000000.0,
Operating Cash Flow,373034000000.0,420622000000.0,449822000000.0,-76413000000.0,
Taxes Refund Paid,-5563000000.0,-1658000000.0,-3683000000.0,-5483000000.0,
Interest Received Cfo,5762000000.0,3563000000.0,2202000000.0,1682000000.0,
Interest Paid Cfo,-23061000000.0,-23419000000.0,-24990000000.0,-26081000000.0,
Change In Working Capital,41252000000.0,56821000000.0,145781000000.0,-4925000000.0,
Change In Other Current Liabilities,,1554000000.0,2906000000.0,664000000.0,-44000000.0
Change In Other Current Assets,66726000000.0,26158000000.0,143280000000.0,36132000000.0,
Change In Payable,-825000000.0,62539000000.0,35612000000.0,2473000000.0,
Change In Receivables,-29566000000.0,-33419000000.0,-36523000000.0,-44964000000.0,
Other Non Cash Items,6454000000.0,34830000000.0,68102000000.0,-39274000000.0,
Depreciation And Amortization,150660000000.0,144431000000.0,150385000000.0,159621000000.0,
Amortization Cash Flow,2001000000.0,2116000000.0,2115000000.0,2116000000.0,
Depreciation,148659000000.0,142315000000.0,148270000000.0,157505000000.0,
Gain Loss On Investment Securities,-404000000.0,2818000000.0,841000000.0,-2941000000.0,
Net Foreign Currency Exchange Gain Loss,-5063000000.0,-4268000000.0,-4335000000.0,-3404000000.0,
Gain Loss On Sale Of PPE,6431000000.0,2651000000.0,-6123000000.0,-15637000000.0,
Net Income From Continuing Operations,196566000000.0,204838000000.0,114342000000.0,-175374000000.0,
