,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,26041572000.0,25022980000.0,8425420000.0,793260000.0
Tax Rate For Calcs,0.188,0.17,0.172,0.195
Normalized EBITDA,1516474000000.0,1616836000000.0,1733581000000.0,1504132000000.0
Total Unusual Items,138519000000.0,147194000000.0,48985000000.0,4068000000.0
Total Unusual Items Excluding Goodwill,138519000000.0,147194000000.0,48985000000.0,4068000000.0
Net Income From Continuing Operation Net Minority Interest,900342000000.0,1063684000000.0,1130630000000.0,914722000000.0
Reconciled Depreciation,313730000000.0,293573000000.0,272689000000.0,296396000000.0
Reconciled Cost Of Revenue,13374254000000.0,12005227000000.0,12910174000000.0,10616188000000.0
EBITDA,1654993000000.0,1764030000000.0,1782566000000.0,1508200000000.0
EBIT,1341263000000.0,1470457000000.0,1509877000000.0,1211804000000.0
Net Interest Income,-114029000000.0,-103762000000.0,-66825000000.0,-27325000000.0
Interest Expense,206032000000.0,168064000000.0,114582000000.0,47324000000.0
Interest Income,92003000000.0,64302000000.0,47757000000.0,19999000000.0
Normalized Income,787864572000.0,941512980000.0,1090070420000.0,911447260000.0
Net Income From Continuing And Discontinued Operation,900342000000.0,1063684000000.0,1130630000000.0,914722000000.0
Total Expenses,14261966000000.0,12799518000000.0,13612983000000.0,11212499000000.0
Diluted Average Shares,2937781838.0,2948902843.0,3134488000.0,3258822000.0
Basic Average Shares,2935291625.0,2947227841.0,3132733106.0,3257488000.0
Diluted EPS,306.47,360.705,360.705,280.69
Basic EPS,306.73,360.91,360.91,280.805
Diluted NI Availto Com Stockholders,900342000000.0,1063684000000.0,1130630000000.0,914722000000.0
Net Income Common Stockholders,900342000000.0,1063684000000.0,1130630000000.0,914722000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,900342000000.0,1063684000000.0,1130630000000.0,914722000000.0
Minority Interests,-21214000000.0,-16795000000.0,-23997000000.0,-22948000000.0
Net Income Including Noncontrolling Interests,921556000000.0,1080479000000.0,1154627000000.0,937670000000.0
Net Income Continuous Operations,921556000000.0,1080479000000.0,1154627000000.0,937670000000.0
Tax Provision,213675000000.0,221914000000.0,240668000000.0,226810000000.0
Pretax Income,1135231000000.0,1302393000000.0,1395295000000.0,1164480000000.0
Other Non Operating Income Expenses,31717000000.0,31302000000.0,9248000000.0,14909000000.0
Special Income Charges,22171000000.0,-50869000000.0,-10539000000.0,-4637000000.0
Other Special Charges,-57989000000.0,-16166000000.0,-19436000000.0,-14480000000.0
Impairment Of Capital Assets,35818000000.0,67035000000.0,29975000000.0,19117000000.0
Net Non Operating Interest Income Expense,-114029000000.0,-103762000000.0,-66825000000.0,-27325000000.0
Interest Expense Non Operating,206032000000.0,168064000000.0,114582000000.0,47324000000.0
Interest Income Non Operating,92003000000.0,64302000000.0,47757000000.0,19999000000.0
Operating Income,400654000000.0,525424000000.0,693419000000.0,545060000000.0
Operating Expense,887712000000.0,794291000000.0,702809000000.0,596311000000.0
Selling General And Administration,887712000000.0,794291000000.0,702809000000.0,596311000000.0
General And Administrative Expense,887712000000.0,794291000000.0,702809000000.0,596311000000.0
Gross Profit,1288366000000.0,1319715000000.0,1396228000000.0,1141371000000.0
Cost Of Revenue,13374254000000.0,12005227000000.0,12910174000000.0,10616188000000.0
Total Revenue,14662620000000.0,13324942000000.0,14306402000000.0,11757559000000.0
Operating Revenue,14662620000000.0,13324942000000.0,14306402000000.0,11757559000000.0
