,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,29622000000.0,41768000000.0,40488000000.0,36216000000.0,
Repurchase Of Capital Stock,-20052000000.0,-10028000000.0,-10028000000.0,-5018000000.0,
Repayment Of Debt,-9564000000.0,-38157000000.0,-25692000000.0,-22191000000.0,
Issuance Of Debt,1510000000.0,42770000000.0,27896000000.0,17646000000.0,
End Cash Position,61006000000.0,58444000000.0,62297000000.0,52505000000.0,
Other Cash Adjustment Outside Changein Cash,1000000.0,,,-1000000.0,
Beginning Cash Position,58444000000.0,62297000000.0,52505000000.0,61367000000.0,
Effect Of Exchange Rate Changes,1627000000.0,714000000.0,750000000.0,662000000.0,
Changes In Cash,934000000.0,-4567000000.0,9042000000.0,-9523000000.0,
Financing Cash Flow,-44188000000.0,-14858000000.0,-17067000000.0,-16518000000.0,
Net Other Financing Charges,-4842000000.0,-1739000000.0,-2651000000.0,-1312000000.0,
Cash Dividends Paid,-11240000000.0,-7704000000.0,-6592000000.0,-5643000000.0,
Common Stock Dividend Paid,-11240000000.0,-7704000000.0,-6592000000.0,-5643000000.0,
Net Common Stock Issuance,-20052000000.0,-10028000000.0,-10028000000.0,-5018000000.0,
Common Stock Payments,-20052000000.0,-10028000000.0,-10028000000.0,-5018000000.0,
Net Issuance Payments Of Debt,-8054000000.0,4613000000.0,2204000000.0,-4545000000.0,
Net Short Term Debt Issuance,780000000.0,-4162000000.0,-2697000000.0,638000000.0,
Short Term Debt Payments,-730000000.0,-26052000000.0,-13093000000.0,-16358000000.0,
Short Term Debt Issuance,1510000000.0,21890000000.0,10396000000.0,16996000000.0,
Net Long Term Debt Issuance,-8834000000.0,8775000000.0,4901000000.0,-5183000000.0,
Long Term Debt Payments,-8834000000.0,-12105000000.0,-12599000000.0,-5833000000.0,
Long Term Debt Issuance,0.0,20880000000.0,17500000000.0,650000000.0,
Investing Cash Flow,15500000000.0,-31477000000.0,-14379000000.0,-29221000000.0,
Net Other Investing Changes,-5685000000.0,-18121000000.0,-15522000000.0,-35845000000.0,
Net Investment Purchase And Sale,21169000000.0,6754000000.0,1107000000.0,6614000000.0,
Sale Of Investment,34895000000.0,18289000000.0,12254000000.0,7807000000.0,
Purchase Of Investment,-13726000000.0,-11535000000.0,-11147000000.0,-1193000000.0,
Net Business Purchase And Sale,0.0,-20251000000.0,0.0,,
Purchase Of Business,0.0,-20251000000.0,0.0,,
Operating Cash Flow,29622000000.0,41768000000.0,40488000000.0,36216000000.0,
Taxes Refund Paid,-13365000000.0,-10347000000.0,-8319000000.0,-7425000000.0,
Interest Received Cfo,5649000000.0,5755000000.0,6539000000.0,5198000000.0,
Interest Paid Cfo,-875000000.0,-578000000.0,-523000000.0,-585000000.0,
Change In Working Capital,1871000000.0,12009000000.0,3805000000.0,2055000000.0,
Change In Other Current Liabilities,,,,,-1972000000.0
Change In Other Current Assets,-2049000000.0,8565000000.0,1178000000.0,,
Change In Payable,-2598000000.0,-2217000000.0,4275000000.0,-1634000000.0,
Change In Prepaid Assets,-417000000.0,1911000000.0,-12000000.0,773000000.0,
Change In Inventory,5920000000.0,-1849000000.0,1828000000.0,5282000000.0,
Change In Receivables,1480000000.0,6385000000.0,-4020000000.0,-1914000000.0,
Other Non Cash Items,-4917000000.0,-4255000000.0,-5282000000.0,-5186000000.0,
Depreciation And Amortization,17694000000.0,16037000000.0,15714000000.0,15465000000.0,
Depreciation,17694000000.0,16037000000.0,15714000000.0,15465000000.0,
Gain Loss On Investment Securities,-31341000000.0,-15054000000.0,-11147000000.0,-3454000000.0,
Net Income From Continuing Operations,49224000000.0,39170000000.0,40951000000.0,25924000000.0,
