,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-443751000.0,-237405000.0,-901092000.0,-465920000.0
Tax Rate For Calcs,0.231,0.255,0.244,0.256
Normalized EBITDA,207215000000.0,191851000000.0,244241000000.0,232137000000.0
Total Unusual Items,-1921000000.0,-931000000.0,-3693000000.0,-1820000000.0
Total Unusual Items Excluding Goodwill,-1921000000.0,-931000000.0,-3693000000.0,-1820000000.0
Net Income From Continuing Operation Net Minority Interest,147557000000.0,133159000000.0,170587000000.0,155273000000.0
Reconciled Depreciation,46448000000.0,49001000000.0,49189000000.0,47077000000.0
Reconciled Cost Of Revenue,502204000000.0,519430000000.0,526549000000.0,437374000000.0
EBITDA,205294000000.0,190920000000.0,240548000000.0,230317000000.0
EBIT,158846000000.0,141919000000.0,191359000000.0,183240000000.0
Net Interest Income,7122000000.0,4549000000.0,3840000000.0,2055000000.0
Interest Income,7122000000.0,4549000000.0,3840000000.0,2055000000.0
Normalized Income,149034249000.0,133852595000.0,173378908000.0,156627080000.0
Net Income From Continuing And Discontinued Operation,147557000000.0,133159000000.0,170587000000.0,155273000000.0
Total Expenses,638283000000.0,653355000000.0,660597000000.0,549768000000.0
Total Operating Income As Reported,158846000000.0,141919000000.0,191359000000.0,183240000000.0
Diluted Average Shares,938001399.0,949575697.0,955390733.0,959087000.0
Basic Average Shares,938001399.0,949575697.0,955390733.0,959087000.0
Diluted EPS,157.31,140.23,178.55,161.9
Basic EPS,157.31,140.23,178.55,161.9
Diluted NI Availto Com Stockholders,147557000000.0,133159000000.0,170587000000.0,155273000000.0
Net Income Common Stockholders,147557000000.0,133159000000.0,170587000000.0,155273000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,147557000000.0,133159000000.0,170587000000.0,155273000000.0
Minority Interests,-3790000000.0,-2328000000.0,-3327000000.0,-3217000000.0
Net Income Including Noncontrolling Interests,151347000000.0,135487000000.0,173914000000.0,158490000000.0
Net Income Continuous Operations,151347000000.0,135487000000.0,173914000000.0,158490000000.0
Tax Provision,45391000000.0,46268000000.0,56189000000.0,54427000000.0
Pretax Income,196738000000.0,181755000000.0,230103000000.0,212917000000.0
Other Non Operating Income Expenses,2755000000.0,6405000000.0,4305000000.0,5179000000.0
Special Income Charges,-820000000.0,-931000000.0,-3693000000.0,-1820000000.0
Other Special Charges,820000000.0,931000000.0,2469000000.0,1820000000.0
Write Off,,0.0,1224000000.0,0.0
Net Non Operating Interest Income Expense,7122000000.0,4549000000.0,3840000000.0,2055000000.0
Interest Income Non Operating,7122000000.0,4549000000.0,3840000000.0,2055000000.0
Operating Income,158846000000.0,141919000000.0,191359000000.0,183240000000.0
Operating Expense,136079000000.0,133925000000.0,134048000000.0,112394000000.0
Gross Profit,294925000000.0,275844000000.0,325407000000.0,295634000000.0
Cost Of Revenue,502204000000.0,519430000000.0,526549000000.0,437374000000.0
Total Revenue,797129000000.0,795274000000.0,851956000000.0,733008000000.0
Operating Revenue,797129000000.0,795274000000.0,851956000000.0,733008000000.0
