,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,15155285000.0,-37474500000.0,194184000.0,-3024723834.147276,
Tax Rate For Calcs,0.241,0.3,0.232,0.284305,
Normalized EBITDA,939827000000.0,1155580000000.0,343741000000.0,478639000000.0,
Total Unusual Items,62885000000.0,-124915000000.0,837000000.0,-10639000000.0,
Total Unusual Items Excluding Goodwill,62885000000.0,-124915000000.0,837000000.0,-10639000000.0,
Net Income From Continuing Operation Net Minority Interest,420364000000.0,441870000000.0,17679000000.0,85835000000.0,
Reconciled Depreciation,373102000000.0,360552000000.0,326082000000.0,322516000000.0,
Reconciled Cost Of Revenue,3868234000000.0,3330441000000.0,4003939000000.0,2752568000000.0,
EBITDA,1002712000000.0,1030665000000.0,344578000000.0,468000000000.0,
EBIT,629610000000.0,670113000000.0,18496000000.0,145484000000.0,
Net Interest Income,-26056000000.0,-23006000000.0,-22179000000.0,-19020000000.0,
Interest Expense,35038000000.0,29059000000.0,24324000000.0,20168000000.0,
Interest Income,8982000000.0,6053000000.0,2145000000.0,1148000000.0,
Normalized Income,372634285000.0,529310500000.0,17036184000.0,93449276165.85272,
Net Income From Continuing And Discontinued Operation,420364000000.0,441870000000.0,17679000000.0,85835000000.0,
Total Expenses,3868234000000.0,3330441000000.0,4003939000000.0,2752568000000.0,
Total Operating Income As Reported,468877000000.0,728935000000.0,-52056000000.0,99325000000.0,
Diluted Average Shares,963938637.0,892504393.0,892501269.0,892826254.0,
Basic Average Shares,963938637.0,892504393.0,892501269.0,892826254.0,
Diluted EPS,436.09,495.09,19.81,96.14,
Basic EPS,436.09,495.09,19.81,96.14,
Diluted NI Availto Com Stockholders,420364000000.0,441870000000.0,17679000000.0,85835000000.0,
Net Income Common Stockholders,420364000000.0,441870000000.0,17679000000.0,85835000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,420364000000.0,441870000000.0,17679000000.0,85835000000.0,
Minority Interests,-30772000000.0,-6569000000.0,-3134000000.0,-3852000000.0,
Net Income Including Noncontrolling Interests,451137000000.0,448440000000.0,20814000000.0,89688000000.0,
Net Income Continuous Operations,451137000000.0,448440000000.0,20815000000.0,89688000000.0,
Tax Provision,143435000000.0,192614000000.0,-26643000000.0,35628000000.0,
Pretax Income,594572000000.0,641054000000.0,-5828000000.0,125316000000.0,
Other Non Operating Income Expenses,38681000000.0,8532000000.0,20393000000.0,32143000000.0,
Special Income Charges,62885000000.0,-124915000000.0,837000000.0,-10639000000.0,
Other Special Charges,-61412000000.0,126495000000.0,,10773000000.0,-4400000000.0
Write Off,-1473000000.0,-1580000000.0,-837000000.0,-134000000.0,
Net Non Operating Interest Income Expense,-26056000000.0,-23006000000.0,-22179000000.0,-19020000000.0,
Interest Expense Non Operating,35038000000.0,29059000000.0,24324000000.0,20168000000.0,
Interest Income Non Operating,8982000000.0,6053000000.0,2145000000.0,1148000000.0,
Operating Income,468877000000.0,728936000000.0,-52056000000.0,99326000000.0,
Gross Profit,468877000000.0,728936000000.0,-52056000000.0,99326000000.0,
Cost Of Revenue,3868234000000.0,3330441000000.0,4003939000000.0,2752568000000.0,
Total Revenue,4337111000000.0,4059377000000.0,3951883000000.0,2851894000000.0,
Operating Revenue,4337111000000.0,4059377000000.0,3951883000000.0,2851894000000.0,
