,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,545106000000.0,465433000000.0,361437000000.0,375225000000.0,
Repurchase Of Capital Stock,-824465000000.0,-218928000000.0,-152454000000.0,-124568000000.0,
Repayment Of Debt,0.0,-32912000000.0,-24959000000.0,-54957000000.0,
Capital Expenditure,-65257000000.0,-69929000000.0,-76756000000.0,-64385000000.0,
End Cash Position,808625000000.0,1136858000000.0,877370000000.0,669551000000.0,
Other Cash Adjustment Outside Changein Cash,,,,,-1000000.0
Beginning Cash Position,1136858000000.0,877370000000.0,669551000000.0,501043000000.0,
Effect Of Exchange Rate Changes,2938000000.0,127563000000.0,54362000000.0,54007000000.0,
Changes In Cash,-331171000000.0,131925000000.0,153457000000.0,114501000000.0,
Financing Cash Flow,-880480000000.0,-334648000000.0,-252060000000.0,-254371000000.0,
Net Other Financing Charges,24176000000.0,-632000000.0,5309000000.0,2427000000.0,
Cash Dividends Paid,-35644000000.0,-35374000000.0,-34638000000.0,-34317000000.0,
Common Stock Dividend Paid,-35644000000.0,-35374000000.0,-34638000000.0,-34317000000.0,
Net Common Stock Issuance,-824465000000.0,-218928000000.0,-152454000000.0,-124568000000.0,
Common Stock Payments,-824465000000.0,-218928000000.0,-152454000000.0,-124568000000.0,
Net Issuance Payments Of Debt,0.0,-32912000000.0,-24959000000.0,-54957000000.0,
Net Long Term Debt Issuance,0.0,-32912000000.0,-24959000000.0,-54957000000.0,
Long Term Debt Payments,0.0,-32912000000.0,-24959000000.0,-54957000000.0,
Investing Cash Flow,-61054000000.0,-68789000000.0,-32676000000.0,-70738000000.0,
Net Other Investing Changes,-6145000000.0,-2748000000.0,4549000000.0,-6353000000.0,
Net Investment Purchase And Sale,10348000000.0,3888000000.0,,,
Sale Of Investment,26708000000.0,4869000000.0,,,
Purchase Of Investment,-16360000000.0,-981000000.0,,,
Net Business Purchase And Sale,,0.0,39531000000.0,0.0,
Sale Of Business,,0.0,39531000000.0,0.0,
Net Intangibles Purchase And Sale,-57306000000.0,-58792000000.0,-54731000000.0,-51252000000.0,
Purchase Of Intangibles,-57306000000.0,-58792000000.0,-54731000000.0,-51252000000.0,
Net PPE Purchase And Sale,-7951000000.0,-11137000000.0,-22025000000.0,-13133000000.0,
Sale Of PPE,,,,97000000.0,20209000000.0
Purchase Of PPE,-7951000000.0,-11137000000.0,-22025000000.0,-13133000000.0,
Operating Cash Flow,610363000000.0,535362000000.0,438193000000.0,439610000000.0,
Taxes Refund Paid,-113800000000.0,-150024000000.0,-109450000000.0,-123221000000.0,
Interest Received Cfo,34676000000.0,41489000000.0,16833000000.0,2159000000.0,
Interest Paid Cfo,-5362000000.0,-5364000000.0,-4091000000.0,-3732000000.0,
Change In Working Capital,11083000000.0,67580000000.0,-8859000000.0,26039000000.0,
Change In Other Current Assets,7904000000.0,62235000000.0,-23315000000.0,67175000000.0,
Change In Payable,18963000000.0,-5114000000.0,57573000000.0,33898000000.0,
Change In Receivables,-15784000000.0,10459000000.0,-43117000000.0,-75034000000.0,
Other Non Cash Items,-33044000000.0,-41410000000.0,-18758000000.0,,
Stock Based Compensation,80429000000.0,79368000000.0,72706000000.0,32446000000.0,
Depreciation And Amortization,109237000000.0,117481000000.0,122044000000.0,123169000000.0,
Depreciation,109237000000.0,117481000000.0,122044000000.0,123169000000.0,
Net Income From Continuing Operations,527143000000.0,426241000000.0,367767000000.0,382749000000.0,
