,2025-08-31,2024-08-31,2023-08-31,2022-08-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.294234,0.293603,0.280294,0.116
Normalized EBITDA,879900000000.0,772690000000.0,634678000000.0,601419000000.0
Net Income From Continuing Operation Net Minority Interest,433010000000.0,372000000000.0,296230000000.0,273335000000.0
Reconciled Depreciation,216492000000.0,204388000000.0,186872000000.0,180275000000.0
Reconciled Cost Of Revenue,1571681000000.0,1430764000000.0,1330196000000.0,1094263000000.0
EBITDA,879900000000.0,772690000000.0,634678000000.0,601419000000.0
EBIT,663408000000.0,568302000000.0,447806000000.0,421144000000.0
Net Interest Income,86309000000.0,56298000000.0,56828000000.0,116260000000.0
Interest Expense,12834000000.0,11101000000.0,9888000000.0,7560000000.0
Interest Income,99143000000.0,67399000000.0,66716000000.0,123820000000.0
Normalized Income,433010000000.0,372000000000.0,296230000000.0,273335000000.0
Net Income From Continuing And Discontinued Operation,433010000000.0,372000000000.0,296230000000.0,273335000000.0
Total Expenses,2837978000000.0,2604349000000.0,2386605000000.0,2004857000000.0
Total Operating Income As Reported,564265000000.0,500904000000.0,381090000000.0,297325000000.0
Diluted Average Shares,307246757.0,307231523.0,307138562.0,306969666.0
Basic Average Shares,306785269.0,306707176.0,306628124.0,306510285.0
Diluted EPS,1409.32,1210.81,964.48,890.43
Basic EPS,1411.44,1212.88,966.09,891.77
Diluted NI Availto Com Stockholders,433009000000.0,371999000000.0,296229000000.0,273335000000.0
Net Income Common Stockholders,433009000000.0,371999000000.0,296229000000.0,273335000000.0
Otherunder Preferred Stock Dividend,1000000.0,1000000.0,1000000.0,0.0
Net Income,433010000000.0,372000000000.0,296230000000.0,273335000000.0
Minority Interests,-26143000000.0,-21605000000.0,-18941000000.0,-11415000000.0
Net Income Including Noncontrolling Interests,459153000000.0,393605000000.0,315171000000.0,284750000000.0
Net Income Continuous Operations,459153000000.0,393605000000.0,315172000000.0,284750000000.0
Tax Provision,191421000000.0,163596000000.0,122746000000.0,128834000000.0
Pretax Income,650574000000.0,557201000000.0,437918000000.0,413584000000.0
Net Non Operating Interest Income Expense,86309000000.0,56298000000.0,56828000000.0,116260000000.0
Interest Expense Non Operating,12834000000.0,11101000000.0,9888000000.0,7560000000.0
Interest Income Non Operating,99143000000.0,67399000000.0,66716000000.0,123820000000.0
Operating Income,562561000000.0,499486000000.0,379951000000.0,296265000000.0
Operating Expense,1266297000000.0,1173585000000.0,1056409000000.0,910594000000.0
Other Operating Expenses,8087000000.0,6256000000.0,14238000000.0,27391000000.0
Selling General And Administration,1277701000000.0,1187713000000.0,1054368000000.0,900154000000.0
General And Administrative Expense,1277701000000.0,1187713000000.0,1054368000000.0,900154000000.0
Gross Profit,1828858000000.0,1673071000000.0,1436360000000.0,1206859000000.0
Cost Of Revenue,1571681000000.0,1430764000000.0,1330196000000.0,1094263000000.0
Total Revenue,3400539000000.0,3103836000000.0,2766557000000.0,2301122000000.0
Operating Revenue,3400539000000.0,3103836000000.0,2766557000000.0,2301122000000.0
