,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,4192000.0,-37252000.0,-83472000.0,175826000.0
Tax Rate For Calcs,0.262,0.268,0.282,0.266
Normalized EBITDA,70390000000.0,63702000000.0,54921000000.0,47095000000.0
Total Unusual Items,16000000.0,-139000000.0,-296000000.0,661000000.0
Total Unusual Items Excluding Goodwill,16000000.0,-139000000.0,-296000000.0,661000000.0
Net Income From Continuing Operation Net Minority Interest,48453000000.0,43374000000.0,36737000000.0,32553000000.0
Reconciled Depreciation,4675000000.0,4221000000.0,3438000000.0,3385000000.0
Reconciled Cost Of Revenue,70846000000.0,67755000000.0,52110000000.0,48736000000.0
EBITDA,70406000000.0,63563000000.0,54625000000.0,47756000000.0
EBIT,65731000000.0,59342000000.0,51187000000.0,44371000000.0
Net Interest Income,1038000000.0,1099000000.0,352000000.0,-9000000.0
Interest Expense,80000000.0,60000000.0,44000000.0,49000000.0
Interest Income,1118000000.0,1159000000.0,396000000.0,40000000.0
Normalized Income,48441192000.0,43475748000.0,36949528000.0,32067826000.0
Net Income From Continuing And Discontinued Operation,48453000000.0,43374000000.0,36737000000.0,32553000000.0
Total Expenses,103826000000.0,95327000000.0,75116000000.0,67144000000.0
Total Operating Income As Reported,65777000000.0,57081000000.0,50812000000.0,42909000000.0
Diluted Average Shares,418275207.0,418239040.0,420507000.0,426998000.0
Basic Average Shares,418254000.0,418239040.0,420507000.0,426998000.0
Diluted EPS,115.84,103.706244,87.36,76.24
Basic EPS,115.85,103.706244,87.36,76.24
Diluted NI Availto Com Stockholders,48453000000.0,43374000000.0,36737000000.0,32553000000.0
Net Income Common Stockholders,48453000000.0,43374000000.0,36737000000.0,32553000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,48453000000.0,43374000000.0,36737000000.0,32553000000.0
Minority Interests,7000000.0,0.0,,
Net Income Including Noncontrolling Interests,48445000000.0,43374000000.0,36737000000.0,32553000000.0
Net Income Continuous Operations,48446000000.0,43374000000.0,36737000000.0,32554000000.0
Tax Provision,17205000000.0,15908000000.0,14406000000.0,11768000000.0
Pretax Income,65651000000.0,59282000000.0,51143000000.0,44322000000.0
Other Non Operating Income Expenses,-1691000000.0,-1089000000.0,-62000000.0,22000000.0
Special Income Charges,16000000.0,-534000000.0,-296000000.0,661000000.0
Other Special Charges,-16000000.0,34000000.0,106000000.0,-661000000.0
Write Off,,0.0,190000000.0,0.0
Restructuring And Mergern Acquisition,0.0,500000000.0,0.0,0.0
Net Non Operating Interest Income Expense,1038000000.0,1099000000.0,352000000.0,-9000000.0
Interest Expense Non Operating,80000000.0,60000000.0,44000000.0,49000000.0
Interest Income Non Operating,1118000000.0,1159000000.0,396000000.0,40000000.0
Operating Income,65777000000.0,57082000000.0,50813000000.0,42909000000.0
Operating Expense,32980000000.0,27572000000.0,23006000000.0,18408000000.0
Gross Profit,98757000000.0,84654000000.0,73819000000.0,61317000000.0
Cost Of Revenue,70846000000.0,67755000000.0,52110000000.0,48736000000.0
Total Revenue,169604000000.0,152410000000.0,125930000000.0,110054000000.0
Operating Revenue,169604000000.0,152410000000.0,125930000000.0,110054000000.0
