,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,566111000000.0,956968000000.0,444744000000.0,793081000000.0
Repurchase Of Capital Stock,-400001000000.0,-300000000000.0,-250152000000.0,-213763000000.0
Repayment Of Debt,-213698000000.0,-219020000000.0,-200500000000.0,-73375000000.0
Issuance Of Debt,982500000000.0,416000000000.0,200000000000.0,0.0
Issuance Of Capital Stock,0.0,0.0,0.0,0.0
Capital Expenditure,-682931000000.0,-749530000000.0,-634125000000.0,-675567000000.0
End Cash Position,921175000000.0,887207000000.0,480252000000.0,796613000000.0
Other Cash Adjustment Outside Changein Cash,-1000000.0,,,1000000.0
Beginning Cash Position,887207000000.0,480252000000.0,796613000000.0,809802000000.0
Effect Of Exchange Rate Changes,-1415000000.0,9367000000.0,7087000000.0,7012000000.0
Changes In Cash,35384000000.0,397588000000.0,-323448000000.0,-20202000000.0
Financing Cash Flow,-33555000000.0,-476477000000.0,-669837000000.0,-727257000000.0
Net Other Financing Charges,-108162000000.0,763000000.0,-6953000000.0,-5762000000.0
Cash Dividends Paid,-286885000000.0,-297575000000.0,-287117000000.0,-271362000000.0
Common Stock Dividend Paid,-286885000000.0,-297575000000.0,-287117000000.0,-271362000000.0
Net Common Stock Issuance,-400001000000.0,-300000000000.0,-250152000000.0,-213763000000.0
Common Stock Payments,-400001000000.0,-300000000000.0,-250152000000.0,-213763000000.0
Common Stock Issuance,0.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,951833000000.0,320606000000.0,49483000000.0,-73358000000.0
Net Short Term Debt Issuance,183031000000.0,123626000000.0,49983000000.0,17000000.0
Net Long Term Debt Issuance,768802000000.0,196980000000.0,-500000000.0,-73375000000.0
Long Term Debt Payments,-213698000000.0,-219020000000.0,-200500000000.0,-73375000000.0
Long Term Debt Issuance,982500000000.0,416000000000.0,200000000000.0,0.0
Investing Cash Flow,-1180103000000.0,-832433000000.0,-732480000000.0,-761593000000.0
Net Other Investing Changes,-26247000000.0,-9850000000.0,-11297000000.0,-12015000000.0
Net Investment Purchase And Sale,-41883000000.0,-95890000000.0,-80965000000.0,-67750000000.0
Sale Of Investment,95551000000.0,333019000000.0,313403000000.0,284465000000.0
Purchase Of Investment,-137434000000.0,-428909000000.0,-394368000000.0,-352215000000.0
Net Business Purchase And Sale,-429590000000.0,22424000000.0,-9847000000.0,-8379000000.0
Sale Of Business,96724000000.0,30931000000.0,0.0,1595000000.0
Purchase Of Business,-526314000000.0,-8507000000.0,-9847000000.0,-9974000000.0
Net Intangibles Purchase And Sale,-281984000000.0,-225590000000.0,-239473000000.0,-249767000000.0
Purchase Of Intangibles,-281984000000.0,-225590000000.0,-239473000000.0,-249767000000.0
Net PPE Purchase And Sale,-400399000000.0,-523527000000.0,-390898000000.0,-423682000000.0
Sale Of PPE,548000000.0,413000000.0,3754000000.0,2118000000.0
Purchase Of PPE,-400947000000.0,-523940000000.0,-394652000000.0,-425800000000.0
Operating Cash Flow,1249042000000.0,1706498000000.0,1078869000000.0,1468648000000.0
Taxes Refund Paid,-305585000000.0,-272617000000.0,-289525000000.0,-367127000000.0
Interest Received Cfo,16036000000.0,11903000000.0,13468000000.0,10620000000.0
Interest Paid Cfo,-14985000000.0,-8526000000.0,-6768000000.0,-6499000000.0
Change In Working Capital,-50639000000.0,277347000000.0,-310593000000.0,128003000000.0
Change In Other Current Liabilities,-37093000000.0,37972000000.0,-141348000000.0,25532000000.0
Change In Other Current Assets,-7561000000.0,76861000000.0,225921000000.0,-6357000000.0
Change In Payable,94060000000.0,78290000000.0,5396000000.0,16403000000.0
Change In Prepaid Assets,737249000000.0,1108586000000.0,500047000000.0,367415000000.0
Change In Inventory,-36441000000.0,7635000000.0,-24421000000.0,-4577000000.0
Change In Receivables,-800248000000.0,-1031264000000.0,-875431000000.0,-270800000000.0
Other Non Cash Items,-57164000000.0,-80834000000.0,-102719000000.0,-84452000000.0
Provisionand Write Offof Assets,-106457000000.0,100067000000.0,3772000000.0,
Depreciation And Amortization,686788000000.0,687349000000.0,697152000000.0,728101000000.0
Depreciation,686788000000.0,687349000000.0,697152000000.0,728101000000.0
Gain Loss On Sale Of PPE,134000000.0,-579000000.0,-1581000000.0,-1393000000.0
Net Income From Continuing Operations,1104625000000.0,992725000000.0,1079523000000.0,1064497000000.0
