,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,10527050000.0,4141763466.938984,3473736000.0,809201704.983799,
Tax Rate For Calcs,0.346,0.281465,0.322,0.291815,
Normalized EBITDA,37366000000.0,41083000000.0,46409000000.0,39193000000.0,
Total Unusual Items,30425000000.0,14715000000.0,10788000000.0,2773000000.0,
Total Unusual Items Excluding Goodwill,30425000000.0,14715000000.0,10788000000.0,2773000000.0,
Net Income From Continuing Operation Net Minority Interest,31864000000.0,27787000000.0,27226000000.0,17892000000.0,
Reconciled Depreciation,17694000000.0,16037000000.0,15714000000.0,15465000000.0,
Reconciled Cost Of Revenue,247631000000.0,222269000000.0,265896000000.0,228595000000.0,
EBITDA,67791000000.0,55798000000.0,57197000000.0,41966000000.0,
EBIT,50097000000.0,39761000000.0,41483000000.0,26501000000.0,
Net Interest Income,-393000000.0,-385000000.0,-239000000.0,-405000000.0,
Interest Expense,873000000.0,591000000.0,532000000.0,577000000.0,
Interest Income,480000000.0,325000000.0,293000000.0,172000000.0,
Normalized Income,11966050000.0,17213763466.938984,19911736000.0,15928201704.983799,
Net Income From Continuing And Discontinued Operation,31864000000.0,27787000000.0,27226000000.0,17892000000.0,
Total Expenses,263755000000.0,235563000000.0,277563000000.0,239082000000.0,
Total Operating Income As Reported,20310000000.0,18941000000.0,23027000000.0,18144000000.0,
Diluted Average Shares,370856611.0,386510321.0,398041675.0,407622290.0,
Basic Average Shares,370856611.0,386510321.0,398041675.0,407622290.0,
Diluted EPS,85.92,71.892,68.4,43.894,
Basic EPS,85.92,71.892,68.4,43.894,
Diluted NI Availto Com Stockholders,31864000000.0,27787000000.0,27226000000.0,17892000000.0,
Net Income Common Stockholders,31864000000.0,27787000000.0,27226000000.0,17892000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,31864000000.0,27787000000.0,27226000000.0,17892000000.0,
Minority Interests,-358000000.0,-357000000.0,-522000000.0,-467000000.0,
Net Income Including Noncontrolling Interests,32222000000.0,28145000000.0,27748000000.0,18359000000.0,
Net Income Continuous Operations,32223000000.0,28145000000.0,27749000000.0,18359000000.0,
Tax Provision,17001000000.0,11025000000.0,13202000000.0,7565000000.0,
Pretax Income,49224000000.0,39170000000.0,40951000000.0,25924000000.0,
Other Non Operating Income Expenses,385000000.0,452000000.0,530000000.0,313000000.0,
Special Income Charges,605000000.0,-517000000.0,2074000000.0,-716000000.0,
Other Special Charges,-692000000.0,517000000.0,-2247000000.0,709000000.0,
Write Off,87000000.0,0.0,173000000.0,7000000.0,
Restructuring And Mergern Acquisition,,,,,77000000.0
Net Non Operating Interest Income Expense,-393000000.0,-385000000.0,-239000000.0,-405000000.0,
Total Other Finance Cost,,119000000.0,,,
Interest Expense Non Operating,873000000.0,591000000.0,532000000.0,577000000.0,
Interest Income Non Operating,480000000.0,325000000.0,293000000.0,172000000.0,
Operating Income,20311000000.0,18942000000.0,23028000000.0,18145000000.0,
Operating Expense,16124000000.0,13294000000.0,11667000000.0,10487000000.0,
Gross Profit,36435000000.0,32236000000.0,34695000000.0,28632000000.0,
Cost Of Revenue,247631000000.0,222269000000.0,265896000000.0,228595000000.0,
Total Revenue,284065000000.0,254504000000.0,300591000000.0,257226000000.0,
Operating Revenue,284065000000.0,254504000000.0,300591000000.0,257226000000.0,
