,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,-6939000000.0,445974000000.0,300653000000.0,282074000000.0,
Repurchase Of Capital Stock,,,-50733000000.0,-95350000000.0,-67000000.0
Capital Expenditure,-19008000000.0,-16123000000.0,-22190000000.0,-7587000000.0,
End Cash Position,1414121000000.0,853432000000.0,1194569000000.0,1022718000000.0,
Other Cash Adjustment Outside Changein Cash,,,,1000000.0,
Beginning Cash Position,853432000000.0,1194569000000.0,1022718000000.0,932079000000.0,
Effect Of Exchange Rate Changes,-9317000000.0,64356000000.0,28474000000.0,44288000000.0,
Changes In Cash,570006000000.0,-405493000000.0,143377000000.0,46350000000.0,
Financing Cash Flow,-195126000000.0,-236958000000.0,-290973000000.0,-337010000000.0,
Net Other Financing Charges,-1935000000.0,-718000000.0,-52273000000.0,-1100000000.0,
Cash Dividends Paid,-193191000000.0,-236240000000.0,-238700000000.0,-240560000000.0,
Common Stock Dividend Paid,,,,,-194021000000.0
Net Common Stock Issuance,,,-50733000000.0,-95350000000.0,-67000000.0
Common Stock Payments,,,-50733000000.0,-95350000000.0,-67000000.0
Investing Cash Flow,753063000000.0,-630632000000.0,111507000000.0,93699000000.0,
Net Other Investing Changes,335490000000.0,-495460000000.0,128387000000.0,29398000000.0,
Net Investment Purchase And Sale,436565000000.0,-119059000000.0,5216000000.0,71881000000.0,
Sale Of Investment,1555399000000.0,1202083000000.0,729907000000.0,1015200000000.0,
Purchase Of Investment,-1118834000000.0,-1321142000000.0,-724691000000.0,-943319000000.0,
Net PPE Purchase And Sale,-18992000000.0,-16113000000.0,-22096000000.0,-7580000000.0,
Sale Of PPE,16000000.0,10000000.0,94000000.0,7000000.0,
Purchase Of PPE,-19008000000.0,-16123000000.0,-22190000000.0,-7587000000.0,
Capital Expenditure Reported,,,,,-7011000000.0
Operating Cash Flow,12069000000.0,462097000000.0,322843000000.0,289661000000.0,
Taxes Refund Paid,-148184000000.0,-183415000000.0,-189615000000.0,-264031000000.0,
Interest Received Cfo,60644000000.0,52822000000.0,24455000000.0,4862000000.0,
Interest Paid Cfo,-193000000.0,-166000000.0,-131000000.0,-281000000.0,
Change In Working Capital,-243565000000.0,86022000000.0,-9364000000.0,-50590000000.0,
Change In Other Current Liabilities,,,,,254000000.0
Change In Other Current Assets,,,,,254000000.0
Change In Payable,57275000000.0,-74541000000.0,8667000000.0,23301000000.0,
Change In Inventory,-333837000000.0,123853000000.0,-45792000000.0,-84563000000.0,
Change In Receivables,27876000000.0,37995000000.0,31513000000.0,8134000000.0,
Other Non Cash Items,-14290000000.0,-78498000000.0,-33439000000.0,-1218000000.0,
Depreciation And Amortization,15361000000.0,17856000000.0,11040000000.0,10527000000.0,
Depreciation,15361000000.0,17856000000.0,11040000000.0,10527000000.0,
Gain Loss On Investment Securities,,,,,-6770000000.0
Net Foreign Currency Exchange Gain Loss,5089000000.0,-83145000000.0,-54260000000.0,-57324000000.0,
Net Income From Continuing Operations,372331000000.0,680722000000.0,600757000000.0,674389000000.0,
