,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,159638000000.0,269303000000.0,32639000000.0,-412887000000.0,
Repurchase Of Capital Stock,0.0,-1000000.0,0.0,0.0,
Repayment Of Debt,-116762000000.0,-186699000000.0,-491174000000.0,-330359000000.0,
Issuance Of Debt,59602000000.0,94652000000.0,302440000000.0,346245000000.0,
Issuance Of Capital Stock,,,0.0,336000000.0,6542000000.0
Capital Expenditure,-464912000000.0,-403575000000.0,-454067000000.0,-484633000000.0,
End Cash Position,394701000000.0,821720000000.0,710526000000.0,619460000000.0,
Other Cash Adjustment Outside Changein Cash,-1000000.0,-1000000.0,,,-1000000.0
Beginning Cash Position,821720000000.0,710526000000.0,619460000000.0,719941000000.0,
Changes In Cash,-427018000000.0,111195000000.0,91066000000.0,-100481000000.0,
Financing Cash Flow,-95532000000.0,-125127000000.0,-220604000000.0,-19178000000.0,
Net Other Financing Charges,-8531000000.0,-5275000000.0,-6099000000.0,-9649000000.0,
Cash Dividends Paid,-29550000000.0,-27580000000.0,-25610000000.0,-25610000000.0,
Net Common Stock Issuance,0.0,-1000000.0,0.0,336000000.0,
Common Stock Payments,0.0,-1000000.0,0.0,0.0,
Common Stock Issuance,,,0.0,336000000.0,6542000000.0
Net Issuance Payments Of Debt,-57160000000.0,-92047000000.0,-188734000000.0,15886000000.0,
Net Short Term Debt Issuance,3052000000.0,4752000000.0,-203397000000.0,745000000.0,
Short Term Debt Payments,,0.0,-403397000000.0,-200000000000.0,-100000000000.0
Short Term Debt Issuance,3052000000.0,4752000000.0,200000000000.0,200745000000.0,
Net Long Term Debt Issuance,-60212000000.0,-96799000000.0,14663000000.0,15141000000.0,
Long Term Debt Payments,-116762000000.0,-186699000000.0,-87777000000.0,-130359000000.0,
Long Term Debt Issuance,56550000000.0,89900000000.0,102440000000.0,145500000000.0,
Investing Cash Flow,-956036000000.0,-436556000000.0,-175036000000.0,-153049000000.0,
Net Other Investing Changes,-5765000000.0,6338000000.0,4442000000.0,6332000000.0,
Net Investment Purchase And Sale,-485359000000.0,-39319000000.0,274589000000.0,325252000000.0,
Sale Of Investment,935441000000.0,534580000000.0,376788000000.0,427354000000.0,
Purchase Of Investment,-1420800000000.0,-573899000000.0,-102199000000.0,-102102000000.0,
Net Intangibles Purchase And Sale,-12348000000.0,-12309000000.0,-26875000000.0,-34079000000.0,
Purchase Of Intangibles,-12348000000.0,-12309000000.0,-26875000000.0,-34079000000.0,
Net PPE Purchase And Sale,-452564000000.0,-391266000000.0,-427192000000.0,-450554000000.0,
Purchase Of PPE,-452564000000.0,-391266000000.0,-427192000000.0,-450554000000.0,
Operating Cash Flow,624550000000.0,672878000000.0,486706000000.0,71746000000.0,
Taxes Refund Paid,-160220000000.0,-58987000000.0,-6485000000.0,-79060000000.0,
Interest Received Cfo,10459000000.0,6719000000.0,6974000000.0,6052000000.0,
Interest Paid Cfo,-79077000000.0,-78842000000.0,-78867000000.0,-78816000000.0,
Change In Working Capital,-21803000000.0,-17665000000.0,-60625000000.0,-1827000000.0,
Change In Other Current Assets,5118000000.0,5627000000.0,6869000000.0,3618000000.0,
Change In Payable,-187000000.0,19321000000.0,7117000000.0,11582000000.0,
Change In Inventory,533000000.0,-3928000000.0,-2192000000.0,8090000000.0,
Change In Receivables,-24256000000.0,-33992000000.0,-37102000000.0,11123000000.0,
Other Non Cash Items,12976000000.0,48848000000.0,92730000000.0,77394000000.0,
Depreciation And Amortization,208042000000.0,216406000000.0,219614000000.0,207039000000.0,
Depreciation,208042000000.0,216406000000.0,219614000000.0,207039000000.0,
Gain Loss On Investment Securities,8912000000.0,11637000000.0,7405000000.0,7887000000.0,
Net Income From Continuing Operations,645875000000.0,545328000000.0,306132000000.0,-66745000000.0,
