,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,106042560000.0,203229912000.0,-164142088000.0,-530526464000.0,
Tax Rate For Calcs,0.06,0.232,0.232,0.232,
Normalized EBITDA,1385727000000.0,596434000000.0,1687772000000.0,2652126000000.0,
Total Unusual Items,1767376000000.0,875991000000.0,-707509000000.0,-2286752000000.0,
Total Unusual Items Excluding Goodwill,1767376000000.0,875991000000.0,-707509000000.0,-2286752000000.0,
Net Income From Continuing Operation Net Minority Interest,1153332000000.0,-227646000000.0,-970144000000.0,-1708029000000.0,
Reconciled Depreciation,866823000000.0,858620000000.0,893488000000.0,852424000000.0,
Reconciled Cost Of Revenue,3489549000000.0,3214108000000.0,3242397000000.0,2955960000000.0,
EBITDA,3153103000000.0,1472425000000.0,980263000000.0,365374000000.0,
EBIT,2286280000000.0,613805000000.0,86775000000.0,-487050000000.0,
Net Interest Income,-581559000000.0,-556004000000.0,-555902000000.0,-382512000000.0,
Interest Expense,581559000000.0,556004000000.0,555902000000.0,382512000000.0,
Normalized Income,-508001440000.0,-900407088000.0,-426777088000.0,48196536000.0,
Net Income From Continuing And Discontinued Operation,1153332000000.0,-227646000000.0,-970144000000.0,-1708029000000.0,
Total Expenses,6513958000000.0,6196491000000.0,5937725000000.0,5507682000000.0,
Diluted Average Shares,5816092000.0,5859828000.0,6169895548.0,6835956000.0,
Basic Average Shares,5811928000.0,5859828000.0,6169895548.0,6835956000.0,
Diluted EPS,194.85,-43.55,-165.6025,-256.4175,
Basic EPS,195.205,-42.7475,-163.0925,-254.645,
Diluted NI Availto Com Stockholders,1153332000000.0,-227646000000.0,-970144000000.0,-1708029000000.0,
Net Income Common Stockholders,1153332000000.0,-227646000000.0,-970144000000.0,-1708029000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1153332000000.0,-227646000000.0,-970144000000.0,-1708029000000.0,
Minority Interests,-449776000000.0,-436863000000.0,-180343000000.0,-245830000000.0,
Net Income Including Noncontrolling Interests,1603108000000.0,209217000000.0,-789801000000.0,-1462199000000.0,
Net Income Discontinuous Operations,,,,0.0,710948000000.0
Net Income Continuous Operations,1603108000000.0,209217000000.0,-789801000000.0,-1462199000000.0,
Tax Provision,101613000000.0,-151416000000.0,320674000000.0,592637000000.0,
Pretax Income,1704721000000.0,57801000000.0,-469127000000.0,-869562000000.0,
Other Non Operating Income Expenses,354251000000.0,204079000000.0,-24138000000.0,393299000000.0,
Net Non Operating Interest Income Expense,-581559000000.0,-556004000000.0,-555902000000.0,-382512000000.0,
Interest Expense Non Operating,581559000000.0,556004000000.0,555902000000.0,382512000000.0,
Operating Income,729794000000.0,560009000000.0,632714000000.0,713852000000.0,
Operating Expense,3024409000000.0,2982383000000.0,2695328000000.0,2551722000000.0,
Selling General And Administration,3024409000000.0,2982383000000.0,2695328000000.0,2551722000000.0,
General And Administrative Expense,3024409000000.0,2982383000000.0,2695328000000.0,2551722000000.0,
Gross Profit,3754203000000.0,3542392000000.0,3328042000000.0,3265574000000.0,
Cost Of Revenue,3489549000000.0,3214108000000.0,3242397000000.0,2955960000000.0,
Total Revenue,7243752000000.0,6756500000000.0,6570439000000.0,6221534000000.0,
Operating Revenue,7243752000000.0,6756500000000.0,6570439000000.0,6221534000000.0,
