,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-6185235820.887891,-4642671633.870364,-4611269600.0,-11434626000.0
Tax Rate For Calcs,0.308214,0.320804,0.2888,0.3005
Normalized EBITDA,3476313000000.0,3753513000000.0,3489531000000.0,3450782000000.0
Total Unusual Items,-20068000000.0,-13985000000.0,-9803000000.0,-37824000000.0
Total Unusual Items Excluding Goodwill,-20068000000.0,-14472000000.0,-15967000000.0,-38052000000.0
Net Income From Continuing Operation Net Minority Interest,1000016000000.0,1279521000000.0,1213116000000.0,1181083000000.0
Reconciled Depreciation,1722035000000.0,1628586000000.0,1582625000000.0,1561183000000.0
Reconciled Cost Of Revenue,3098603000000.0,2935465000000.0,2768711000000.0,2566127000000.0
EBITDA,3456245000000.0,3739528000000.0,3479728000000.0,3412958000000.0
EBIT,1734210000000.0,2110942000000.0,1897103000000.0,1851775000000.0
Net Interest Income,-110363000000.0,33341000000.0,-25319000000.0,7221000000.0
Interest Expense,169514000000.0,130485000000.0,79424000000.0,56250000000.0
Interest Income,59151000000.0,163826000000.0,54105000000.0,63471000000.0
Normalized Income,1013898764179.112,1289837328366.1296,1230635730400.0,1207928374000.0
Net Income From Continuing And Discontinued Operation,1000016000000.0,1279521000000.0,1213116000000.0,1181083000000.0
Total Expenses,12035088000000.0,11437187000000.0,11291241000000.0,10349802000000.0
Total Operating Income As Reported,1649571000000.0,1922910000000.0,1828986000000.0,1768593000000.0
Diluted Average Shares,83613377926.0,84792644135.0,87152141738.0,89669717425.0
Basic Average Shares,83613377926.0,84792644135.0,87152141738.0,89669717425.0
Diluted EPS,11.96,15.09,13.92,13.1716
Basic EPS,11.96,15.09,13.92,13.1716
Diluted NI Availto Com Stockholders,1000016000000.0,1279521000000.0,1213116000000.0,1181083000000.0
Net Income Common Stockholders,1000016000000.0,1279521000000.0,1213116000000.0,1181083000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1000016000000.0,1279521000000.0,1213116000000.0,1181083000000.0
Minority Interests,-82419000000.0,-65598000000.0,-79640000000.0,-74911000000.0
Net Income Including Noncontrolling Interests,1082435000000.0,1345119000000.0,1292756000000.0,1255994000000.0
Net Income Continuous Operations,1082435000000.0,1345119000000.0,1292756000000.0,1255994000000.0
Tax Provision,482261000000.0,635338000000.0,524923000000.0,539531000000.0
Pretax Income,1564696000000.0,1980457000000.0,1817679000000.0,1795525000000.0
Special Income Charges,-20068000000.0,-14472000000.0,-15967000000.0,-38052000000.0
Write Off,20068000000.0,13985000000.0,9803000000.0,37824000000.0
Net Non Operating Interest Income Expense,-110363000000.0,33341000000.0,-25319000000.0,7221000000.0
Interest Expense Non Operating,169514000000.0,130485000000.0,79424000000.0,56250000000.0
Interest Income Non Operating,59151000000.0,163826000000.0,54105000000.0,63471000000.0
Operating Income,1669639000000.0,1937382000000.0,1844953000000.0,1806645000000.0
Operating Expense,8936485000000.0,8501722000000.0,8522530000000.0,7783675000000.0
Other Operating Expenses,7214450000000.0,6873136000000.0,6939905000000.0,6222492000000.0
Depreciation And Amortization In Income Statement,1722035000000.0,1628586000000.0,1582625000000.0,1561183000000.0
Depreciation Income Statement,1722035000000.0,1628586000000.0,1582625000000.0,1561183000000.0
Gross Profit,10606124000000.0,10439104000000.0,10367483000000.0,9590320000000.0
Cost Of Revenue,3098603000000.0,2935465000000.0,2768711000000.0,2566127000000.0
Total Revenue,13704727000000.0,13374569000000.0,13136194000000.0,12156447000000.0
Operating Revenue,13704727000000.0,13374569000000.0,13136194000000.0,12156447000000.0
