,2025-03-31,2024-09-30
Treasury Shares Number,46004970.0,46004820.0
Ordinary Shares Number,983995030.0,983995180.0
Share Issued,1030000000.0,1030000000.0
Net Debt,4048630000000.0,3964529000000.0
Total Debt,4308098000000.0,4371802000000.0
Tangible Book Value,4435755000000.0,4213079000000.0
Invested Capital,8908632000000.0,8748747000000.0
Working Capital,1160574000000.0,1593963000000.0
Net Tangible Assets,4435755000000.0,4213079000000.0
Common Stock Equity,4600534000000.0,4376945000000.0
Total Capitalization,8797285000000.0,8599334000000.0
Total Equity Gross Minority Interest,4658548000000.0,4431916000000.0
Minority Interest,58014000000.0,54971000000.0
Stockholders Equity,4600534000000.0,4376945000000.0
Treasury Stock,103162000000.0,103162000000.0
Retained Earnings,4428847000000.0,4218846000000.0
Additional Paid In Capital,54158000000.0,54159000000.0
Capital Stock,112000000000.0,112000000000.0
Common Stock,112000000000.0,112000000000.0
Total Liabilities Net Minority Interest,5664797000000.0,5564895000000.0
Total Non Current Liabilities Net Minority Interest,4882454000000.0,4925213000000.0
Other Non Current Liabilities,38784000000.0,39150000000.0
Non Current Pension And Other Postretirement Benefit Plans,149080000000.0,161856000000.0
Tradeand Other Payables Non Current,497839000000.0,501818000000.0
Long Term Debt And Capital Lease Obligation,4196751000000.0,4222389000000.0
Long Term Debt,4196751000000.0,4222389000000.0
Current Liabilities,782343000000.0,639682000000.0
Other Current Liabilities,68861000000.0,284986000000.0
Current Debt And Capital Lease Obligation,111347000000.0,149413000000.0
Current Debt,111347000000.0,149413000000.0
Pensionand Other Post Retirement Benefit Plans Current,32409000000.0,30400000000.0
Payables,504077000000.0,174883000000.0
Other Payable,277277000000.0,
Total Tax Payable,135566000000.0,103952000000.0
Accounts Payable,91234000000.0,70931000000.0
Total Assets,10323345000000.0,9996811000000.0
Total Non Current Assets,8380422000000.0,7763160000000.0
Other Non Current Assets,30896000000.0,1052099000000.0
Defined Pension Benefit,12082000000.0,
Non Current Deferred Taxes Assets,165752000000.0,164972000000.0
Investmentin Financial Assets,458717000000.0,486364000000.0
Available For Sale Securities,458717000000.0,486364000000.0
Goodwill And Other Intangible Assets,164779000000.0,163866000000.0
Net PPE,6058780000000.0,5895859000000.0
Gross PPE,6058780000000.0,5895859000000.0
Construction In Progress,2104097000000.0,1937050000000.0
Other Properties,34590000000.0,33060000000.0
Machinery Furniture Equipment,282842000000.0,291205000000.0
Buildings And Improvements,1257444000000.0,1256241000000.0
Land And Improvements,2379807000000.0,2378303000000.0
Properties,0.0,0.0
Current Assets,1942917000000.0,2233645000000.0
Other Current Assets,142283000000.0,191232000000.0
Restricted Cash,1090759000000.0,1175254000000.0
Inventory,41775000000.0,45624000000.0
Accounts Receivable,210732000000.0,174162000000.0
Gross Accounts Receivable,210732000000.0,174162000000.0
Cash Cash Equivalents And Short Term Investments,457368000000.0,647373000000.0
Other Short Term Investments,197900000000.0,240100000000.0
Cash And Cash Equivalents,259468000000.0,407273000000.0
