,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-10360572000.0,-13303440000.0,40247824000.0,-5496544000.0,
Tax Rate For Calcs,0.186,0.108,0.232,0.232,
Normalized EBITDA,691581000000.0,841691000000.0,104034000000.0,498868000000.0,
Total Unusual Items,-55702000000.0,-123180000000.0,173482000000.0,-23692000000.0,
Total Unusual Items Excluding Goodwill,-55702000000.0,-123180000000.0,173482000000.0,-23692000000.0,
Net Income From Continuing Operation Net Minority Interest,161278000000.0,267850000000.0,-123631000000.0,2916000000.0,
Reconciled Depreciation,367517000000.0,358207000000.0,341145000000.0,419203000000.0,
Reconciled Cost Of Revenue,6575938000000.0,6639532000000.0,8341195000000.0,5263693000000.0,
EBITDA,635879000000.0,718511000000.0,277516000000.0,475176000000.0,
EBIT,268362000000.0,360304000000.0,-63629000000.0,55973000000.0,
Net Interest Income,-66666000000.0,-57050000000.0,-48003000000.0,-44258000000.0,
Interest Expense,69621000000.0,57959000000.0,48282000000.0,44622000000.0,
Interest Income,2955000000.0,909000000.0,279000000.0,364000000.0,
Normalized Income,206619428000.0,377726560000.0,-256865176000.0,21111456000.0,
Net Income From Continuing And Discontinued Operation,161278000000.0,267850000000.0,-123631000000.0,2916000000.0,
Total Expenses,6575938000000.0,6639532000000.0,8341195000000.0,5263693000000.0,
Total Operating Income As Reported,234452000000.0,278856000000.0,-228969000000.0,46230000000.0,
Diluted Average Shares,1602046290.0,1602165331.0,1602158547.0,1602180000.0,
Basic Average Shares,1602046290.0,1602165331.0,1602158547.0,1602180000.0,
Diluted EPS,100.67,167.18,-77.17,0.58,
Basic EPS,100.67,167.18,-77.17,1.82,
Diluted NI Availto Com Stockholders,161278000000.0,267850000000.0,-123631000000.0,2916000000.0,
Net Income Common Stockholders,161278000000.0,267850000000.0,-123631000000.0,2916000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,161278000000.0,267850000000.0,-123631000000.0,2916000000.0,
Minority Interests,-568000000.0,-1757000000.0,-601000000.0,-860000000.0,
Net Income Including Noncontrolling Interests,161846000000.0,269607000000.0,-123029000000.0,3777000000.0,
Net Income Continuous Operations,161847000000.0,269608000000.0,-123029000000.0,3777000000.0,
Tax Provision,36894000000.0,32737000000.0,11118000000.0,7574000000.0,
Pretax Income,198741000000.0,302345000000.0,-111911000000.0,11351000000.0,
Other Non Operating Income Expenses,-14273000000.0,879000000.0,-7947000000.0,-4251000000.0,
Special Income Charges,-55702000000.0,-123180000000.0,173482000000.0,-23692000000.0,
Other Special Charges,55702000000.0,123180000000.0,-163997000000.0,22651000000.0,
Write Off,,0.0,-9485000000.0,1041000000.0,870000000.0
Net Non Operating Interest Income Expense,-66666000000.0,-57050000000.0,-48003000000.0,-44258000000.0,
Interest Expense Non Operating,69621000000.0,57959000000.0,48282000000.0,44622000000.0,
Interest Income Non Operating,2955000000.0,909000000.0,279000000.0,364000000.0,
Operating Income,234453000000.0,278856000000.0,-228970000000.0,46230000000.0,
Gross Profit,234453000000.0,278856000000.0,-228970000000.0,46230000000.0,
Cost Of Revenue,6575938000000.0,6639532000000.0,8341195000000.0,5263693000000.0,
Total Revenue,6810391000000.0,6918388000000.0,8112225000000.0,5309923000000.0,
Operating Revenue,6810391000000.0,6918388000000.0,8112225000000.0,5309923000000.0,
