,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1072015000.0,1842827000.0,966900000.0,942210772.342498,
Tax Rate For Calcs,0.281,0.287,0.275,0.256454,
Normalized EBITDA,929117000000.0,834405000000.0,601341000000.0,215643000000.0,
Total Unusual Items,3815000000.0,6421000000.0,3516000000.0,3674000000.0,
Total Unusual Items Excluding Goodwill,3815000000.0,6421000000.0,3516000000.0,3674000000.0,
Net Income From Continuing Operation Net Minority Interest,458423000000.0,384411000000.0,219417000000.0,-51928000000.0,
Reconciled Depreciation,208042000000.0,216406000000.0,219614000000.0,207039000000.0,
Reconciled Cost Of Revenue,928899000000.0,912306000000.0,847847000000.0,773583000000.0,
EBITDA,932932000000.0,840826000000.0,604857000000.0,219317000000.0,
EBIT,724890000000.0,624420000000.0,385243000000.0,12278000000.0,
Net Interest Income,-69598000000.0,-75759000000.0,-76989000000.0,-76602000000.0,
Interest Expense,79015000000.0,79092000000.0,79111000000.0,79023000000.0,
Interest Income,9417000000.0,3333000000.0,2122000000.0,2421000000.0,
Normalized Income,455680015000.0,379832827000.0,216867900000.0,-54659789227.6575,
Net Income From Continuing And Discontinued Operation,458423000000.0,384411000000.0,219417000000.0,-51928000000.0,
Total Expenses,1129052000000.0,1103025000000.0,1025781000000.0,933430000000.0,
Total Operating Income As Reported,702794000000.0,607381000000.0,374503000000.0,1708000000.0,
Diluted Average Shares,983993732.0,984003993.0,983995743.0,983988000.0,
Basic Average Shares,983993732.0,984003993.0,983995743.0,983988000.0,
Diluted EPS,465.88,390.66,222.99,-52.774,
Basic EPS,465.88,390.66,222.99,-52.774,
Diluted NI Availto Com Stockholders,458423000000.0,384411000000.0,219417000000.0,-51928000000.0,
Net Income Common Stockholders,458423000000.0,384411000000.0,219417000000.0,-51928000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,458423000000.0,384411000000.0,219417000000.0,-51928000000.0,
Minority Interests,-5968000000.0,-4350000000.0,-2680000000.0,-2300000000.0,
Net Income Including Noncontrolling Interests,464391000000.0,388761000000.0,222098000000.0,-49627000000.0,
Net Income Continuous Operations,464392000000.0,388761000000.0,222098000000.0,-49628000000.0,
Tax Provision,181483000000.0,156567000000.0,84034000000.0,-17117000000.0,
Pretax Income,645875000000.0,545328000000.0,306132000000.0,-66745000000.0,
Other Non Operating Income Expenses,3261000000.0,2223000000.0,17000000.0,484000000.0,
Special Income Charges,-3416000000.0,-1616000000.0,527000000.0,3530000000.0,
Other Special Charges,2698000000.0,1539000000.0,-527000000.0,-3530000000.0,
Write Off,718000000.0,77000000.0,,1312000000.0,4930000000.0
Net Non Operating Interest Income Expense,-69598000000.0,-75759000000.0,-76989000000.0,-76602000000.0,
Interest Expense Non Operating,79015000000.0,79092000000.0,79111000000.0,79023000000.0,
Interest Income Non Operating,9417000000.0,3333000000.0,2122000000.0,2421000000.0,
Operating Income,702795000000.0,607382000000.0,374504000000.0,1709000000.0,
Operating Expense,200153000000.0,190719000000.0,177934000000.0,159847000000.0,
Gross Profit,902948000000.0,798101000000.0,552438000000.0,161556000000.0,
Cost Of Revenue,928899000000.0,912306000000.0,847847000000.0,773583000000.0,
Total Revenue,1831847000000.0,1710407000000.0,1400285000000.0,935139000000.0,
Operating Revenue,1831847000000.0,1710407000000.0,1400285000000.0,935139000000.0,
