,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-2163798000.0,-3460164000.0,9037624000.0,-756860000.0
Tax Rate For Calcs,0.273,0.183,0.331,0.26
Total Unusual Items,-7926000000.0,-18908000000.0,27304000000.0,-2911000000.0
Total Unusual Items Excluding Goodwill,-7926000000.0,-18908000000.0,27304000000.0,-2911000000.0
Net Income From Continuing Operation Net Minority Interest,1055276000000.0,695808000000.0,374605000000.0,420484000000.0
Reconciled Depreciation,236858000000.0,212320000000.0,193206000000.0,161906000000.0
EBIT,1477194000000.0,847870000000.0,533612000000.0,562670000000.0
Net Interest Income,-26922000000.0,-26009000000.0,-13950000000.0,-8398000000.0
Interest Expense,26922000000.0,26009000000.0,13950000000.0,8398000000.0
Interest Income,1000365000000.0,893461000000.0,663170000000.0,560082000000.0
Normalized Income,1061038202000.0,711255836000.0,356338624000.0,422638140000.0
Net Income From Continuing And Discontinued Operation,1055276000000.0,695808000000.0,374605000000.0,420484000000.0
Total Expenses,6133890000000.0,6258447000000.0,5794443000000.0,5197362000000.0
Diluted Average Shares,1946429098.0,1979032396.0,2009575667.0,2056961158.0
Basic Average Shares,1946429098.0,1979032396.0,2009454159.0,2056279000.0
Diluted EPS,542.16,351.59,186.41,204.42
Basic EPS,542.16,351.59,186.42,204.48
Diluted NI Availto Com Stockholders,1055276000000.0,695808000000.0,374605000000.0,420484000000.0
Net Income Common Stockholders,1055276000000.0,695808000000.0,374605000000.0,420484000000.0
Net Income,1055276000000.0,695808000000.0,374605000000.0,420484000000.0
Minority Interests,1533000000.0,24497000000.0,27952000000.0,10070000000.0
Net Income Including Noncontrolling Interests,1053742000000.0,671310000000.0,346652000000.0,410414000000.0
Net Income Continuous Operations,1053743000000.0,671311000000.0,346653000000.0,410414000000.0
Tax Provision,396529000000.0,150550000000.0,173009000000.0,143858000000.0
Pretax Income,1450272000000.0,821861000000.0,519662000000.0,554272000000.0
Other Income Expense,181136000000.0,170604000000.0,139663000000.0,133914000000.0
Special Income Charges,-7926000000.0,-18908000000.0,27304000000.0,-2911000000.0
Other Special Charges,10491000000.0,12013000000.0,-29237000000.0,12376000000.0
Write Off,2566000000.0,8702000000.0,3740000000.0,764000000.0
Restructuring And Mergern Acquisition,-5131000000.0,-1807000000.0,-1807000000.0,-10229000000.0
Net Non Operating Interest Income Expense,-26922000000.0,-26009000000.0,-13950000000.0,-8398000000.0
Interest Expense Non Operating,26922000000.0,26009000000.0,13950000000.0,8398000000.0
Other Operating Expenses,18108000000.0,17264000000.0,29866000000.0,15046000000.0
Selling General And Administration,1401394000000.0,1255677000000.0,1140954000000.0,1002477000000.0
Total Revenue,7584167000000.0,7080313000000.0,6314108000000.0,5751641000000.0
Operating Revenue,7584167000000.0,7080313000000.0,6314108000000.0,5751641000000.0
Net Policyholder Benefits And Claims,3580149000000.0,3285526000000.0,2968389000000.0,2572515000000.0
