,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-28324784400.0,-18070018200.0,1922200000.0,-11801413000.0,
Tax Rate For Calcs,0.2388,0.2333,0.0035,0.247,
Total Unusual Items,-118613000000.0,-77454000000.0,549200000000.0,-47779000000.0,
Total Unusual Items Excluding Goodwill,-118613000000.0,-77454000000.0,549200000000.0,-47779000000.0,
Net Income From Continuing Operation Net Minority Interest,1862946000000.0,1490781000000.0,1116496000000.0,1130840000000.0,
Reconciled Depreciation,415029000000.0,362367000000.0,334636000000.0,363250000000.0,
Net Interest Income,2876456000000.0,2457576000000.0,2926209000000.0,2043488000000.0,
Interest Expense,5591261000000.0,5011100000000.0,2372731000000.0,543952000000.0,
Interest Income,8467717000000.0,7468676000000.0,5298940000000.0,2587440000000.0,
Normalized Income,1953234215600.0,1550164981800.0,569218200000.0,1166817587000.0,
Net Income From Continuing And Discontinued Operation,1862946000000.0,1490781000000.0,1116496000000.0,1130840000000.0,
Diluted Average Shares,11642149000.0,11959977000.0,12305983851.0,12843157297.0,
Basic Average Shares,11642149000.0,11959977000.0,12305714000.0,12785341295.0,
Diluted EPS,159.47,124.32,90.41,88.05,
Basic EPS,160.01,124.64,90.72,88.44,
Diluted NI Availto Com Stockholders,1856658000000.0,1486974000000.0,1112584000000.0,1130840000000.0,
Average Dilution Earnings,-6288000000.0,-3807000000.0,-3912000000.0,,-4159000000.0
Net Income Common Stockholders,1862946000000.0,1490781000000.0,1116496000000.0,1130840000000.0,
Net Income,1862946000000.0,1490781000000.0,1116496000000.0,1130840000000.0,
Minority Interests,-78530000000.0,-80979000000.0,-83820000000.0,-75606000000.0,
Net Income Including Noncontrolling Interests,1941477000000.0,1571761000000.0,1200316000000.0,1206447000000.0,
Net Income Continuous Operations,1941477000000.0,1571761000000.0,1200316000000.0,1206447000000.0,
Tax Provision,609156000000.0,478342000000.0,369607000000.0,283410000000.0,
Pretax Income,2550634000000.0,2050104000000.0,1569923000000.0,1489857000000.0,
Special Income Charges,-118613000000.0,-77454000000.0,549200000000.0,-47779000000.0,
Gain On Sale Of Business,44736000000.0,-93000000.0,670108000000.0,64229000000.0,
Other Special Charges,15953000000.0,46253000000.0,102741000000.0,-62125000000.0,
Write Off,,,,,41240000000.0
Impairment Of Capital Assets,141542000000.0,31108000000.0,18167000000.0,174133000000.0,
Restructuring And Mergern Acquisition,5854000000.0,0.0,,,0.0
Gain On Sale Of Security,0.0,0.0,0.0,0.0,
Depreciation Amortization Depletion Income Statement,,,,,0.0
Depreciation And Amortization In Income Statement,,,,,0.0
Amortization,,,,,0.0
Amortization Of Intangibles Income Statement,,,,,0.0
Depreciation Income Statement,,,,,87305000000.0
Selling General And Administration,3166035000000.0,2920875000000.0,2969325000000.0,2746840000000.0,
General And Administrative Expense,3166035000000.0,2920875000000.0,2969325000000.0,2746840000000.0,
Other Gand A,3166035000000.0,2920875000000.0,2969325000000.0,2746840000000.0,
Insurance And Claims,,,,,90529000000.0
Salaries And Wages,,,78111000000.0,0.0,1253461000000.0
Total Revenue,6838439000000.0,5879775000000.0,6057232000000.0,4703324000000.0,
Operating Revenue,6838439000000.0,5879775000000.0,6057232000000.0,4703324000000.0,
Occupancy And Equipment,,,,,178107000000.0
Other Non Interest Expense,1491383000000.0,865234000000.0,1818166000000.0,529009000000.0,
