,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,50760000000.0,58307000000.0,29281000000.0,44997000000.0,
Repayment Of Debt,-111913000000.0,-21950000000.0,-17000000000.0,-25100000000.0,
Issuance Of Debt,310921000000.0,21450000000.0,12250000000.0,16472000000.0,
Capital Expenditure,-17277000000.0,-9593000000.0,-14311000000.0,-14084000000.0,
End Cash Position,105623000000.0,144360000000.0,121425000000.0,121251000000.0,
Other Cash Adjustment Outside Changein Cash,,,1000000.0,-1000000.0,-1000000.0
Beginning Cash Position,144360000000.0,121425000000.0,121251000000.0,108768000000.0,
Effect Of Exchange Rate Changes,768000000.0,814000000.0,605000000.0,672000000.0,
Changes In Cash,-39505000000.0,22121000000.0,-432000000.0,11812000000.0,
Financing Cash Flow,167946000000.0,-25881000000.0,-29074000000.0,-32342000000.0,
Net Other Financing Charges,-691000000.0,-10000000.0,139000000.0,-11000000.0,
Cash Dividends Paid,-20623000000.0,-16867000000.0,-15406000000.0,-14567000000.0,
Common Stock Dividend Paid,-20623000000.0,-16867000000.0,-15406000000.0,-14567000000.0,
Net Issuance Payments Of Debt,199008000000.0,-500000000.0,-4750000000.0,-8628000000.0,
Net Long Term Debt Issuance,199008000000.0,-500000000.0,-4750000000.0,-8628000000.0,
Long Term Debt Payments,-111913000000.0,-21950000000.0,-17000000000.0,-25100000000.0,
Long Term Debt Issuance,310921000000.0,21450000000.0,12250000000.0,16472000000.0,
Investing Cash Flow,-275488000000.0,-19898000000.0,-14950000000.0,-14927000000.0,
Net Other Investing Changes,313000000.0,-904000000.0,-568000000.0,-213000000.0,
Net Investment Purchase And Sale,-1359000000.0,-4096000000.0,88000000.0,-415000000.0,
Sale Of Investment,45233000000.0,32177000000.0,1352000000.0,268000000.0,
Purchase Of Investment,-46592000000.0,-36273000000.0,-1264000000.0,-683000000.0,
Net Business Purchase And Sale,-258369000000.0,-5403000000.0,-203000000.0,-296000000.0,
Purchase Of Business,-258369000000.0,-5403000000.0,-203000000.0,-296000000.0,
Net Intangibles Purchase And Sale,-7242000000.0,-4991000000.0,-4586000000.0,-3854000000.0,
Sale Of Intangibles,,0.0,44000000.0,73000000.0,9000000.0
Purchase Of Intangibles,-7242000000.0,-4991000000.0,-4630000000.0,-3927000000.0,
Net PPE Purchase And Sale,-8831000000.0,-4504000000.0,-9681000000.0,-10149000000.0,
Sale Of PPE,1204000000.0,98000000.0,0.0,8000000.0,
Purchase Of PPE,-10035000000.0,-4602000000.0,-9681000000.0,-10157000000.0,
Operating Cash Flow,68037000000.0,67900000000.0,43592000000.0,59081000000.0,
Taxes Refund Paid,-18094000000.0,-16155000000.0,-18450000000.0,-6674000000.0,
Interest Received Cfo,1220000000.0,744000000.0,559000000.0,384000000.0,
Interest Paid Cfo,-1242000000.0,-667000000.0,-558000000.0,-506000000.0,
Change In Working Capital,-8497000000.0,3405000000.0,-9102000000.0,-1014000000.0,
Change In Other Current Assets,-790000000.0,1769000000.0,1136000000.0,-554000000.0,
Change In Payable,4441000000.0,478000000.0,3010000000.0,2832000000.0,
Change In Inventory,10994000000.0,1809000000.0,-622000000.0,-1414000000.0,
Change In Receivables,-22436000000.0,-2164000000.0,-12763000000.0,-1084000000.0,
Other Non Cash Items,5582000000.0,2861000000.0,-1951000000.0,-198000000.0,
Depreciation And Amortization,24866000000.0,21433000000.0,20629000000.0,19881000000.0,
Depreciation,24866000000.0,21433000000.0,20629000000.0,19881000000.0,
Gain Loss On Sale Of Business,,,,,-997000000.0
Net Income From Continuing Operations,65547000000.0,57459000000.0,53336000000.0,48315000000.0,
