,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-77963001.216461,-137629044.376045,-135639936.356404,-17787945.205479
Tax Rate For Calcs,0.2942,0.294079,0.318404,0.312069
Normalized EBITDA,61280000000.0,56888000000.0,50240000000.0,44950000000.0
Total Unusual Items,-265000000.0,-468000000.0,-426000000.0,-57000000.0
Total Unusual Items Excluding Goodwill,-265000000.0,-468000000.0,-426000000.0,-57000000.0
Net Income From Continuing Operation Net Minority Interest,30750000000.0,29126000000.0,25703000000.0,23853000000.0
Reconciled Depreciation,17282000000.0,15127000000.0,12068000000.0,10209000000.0
Reconciled Cost Of Revenue,597723000000.0,562457000000.0,518516000000.0,492228000000.0
EBITDA,61015000000.0,56420000000.0,49814000000.0,44893000000.0
EBIT,43733000000.0,41293000000.0,37746000000.0,34684000000.0
Net Interest Income,-13000000.0,88000000.0,83000000.0,113000000.0
Interest Expense,164000000.0,32000000.0,36000000.0,9000000.0
Interest Income,151000000.0,120000000.0,119000000.0,122000000.0
Normalized Income,30937036998.78354,29456370955.623955,25993360063.643597,23892212054.79452
Net Income From Continuing And Discontinued Operation,30750000000.0,29126000000.0,25703000000.0,23853000000.0
Total Expenses,757310000000.0,710776000000.0,653007000000.0,614682000000.0
Rent Expense Supplemental,33337000000.0,31383000000.0,29590000000.0,27578000000.0
Total Operating Income As Reported,44496000000.0,40996000000.0,37452000000.0,34052000000.0
Diluted Average Shares,116962697.0,116939013.0,116927486.0,116920739.0
Basic Average Shares,116962697.0,116939013.0,116923310.0,116917653.0
Diluted EPS,262.91,249.07,219.82,204.01
Basic EPS,262.91,249.07,219.83,204.02
Diluted NI Availto Com Stockholders,30750000000.0,29126000000.0,25703000000.0,23853000000.0
Net Income Common Stockholders,30750000000.0,29126000000.0,25703000000.0,23853000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,30750000000.0,29126000000.0,25703000000.0,23853000000.0
Minority Interests,,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,30750000000.0,29126000000.0,25703000000.0,23853000000.0
Net Income Continuous Operations,30751000000.0,29127000000.0,25703000000.0,23854000000.0
Tax Provision,12818000000.0,12134000000.0,12007000000.0,10821000000.0
Pretax Income,43569000000.0,41261000000.0,37710000000.0,34675000000.0
Other Non Operating Income Expenses,908000000.0,635000000.0,594000000.0,563000000.0
Special Income Charges,-463000000.0,-468000000.0,-426000000.0,-57000000.0
Other Special Charges,37000000.0,-13000000.0,-118000000.0,-53000000.0
Write Off,426000000.0,481000000.0,544000000.0,110000000.0
Net Non Operating Interest Income Expense,-13000000.0,88000000.0,83000000.0,113000000.0
Interest Expense Non Operating,164000000.0,32000000.0,36000000.0,9000000.0
Interest Income Non Operating,151000000.0,120000000.0,119000000.0,122000000.0
Operating Income,44500000000.0,41000000000.0,37455000000.0,34052000000.0
Operating Expense,159587000000.0,148319000000.0,134491000000.0,122454000000.0
Other Operating Expenses,50031000000.0,47080000000.0,42567000000.0,47762000000.0
Depreciation And Amortization In Income Statement,17282000000.0,15012000000.0,12008000000.0,
Depreciation Income Statement,17282000000.0,15012000000.0,12008000000.0,
Rent And Landing Fees,33337000000.0,31383000000.0,29590000000.0,27578000000.0
Gross Profit,204087000000.0,189319000000.0,171946000000.0,156506000000.0
Cost Of Revenue,597723000000.0,562457000000.0,518516000000.0,492228000000.0
Total Revenue,801811000000.0,751777000000.0,690462000000.0,648734000000.0
Operating Revenue,801811000000.0,751777000000.0,690462000000.0,648734000000.0
