,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,434186000.0,1803510000.0,-1237320000.0,-279972000.0,
Tax Rate For Calcs,0.298,0.29,0.252,0.252,
Normalized EBITDA,979005000000.0,922438000000.0,1240243000000.0,867019000000.0,
Total Unusual Items,1457000000.0,6219000000.0,-4910000000.0,-1111000000.0,
Total Unusual Items Excluding Goodwill,1457000000.0,6219000000.0,-4910000000.0,-1111000000.0,
Net Income From Continuing Operation Net Minority Interest,534021000000.0,520140000000.0,708238000000.0,500117000000.0,
Reconciled Depreciation,238357000000.0,227619000000.0,213632000000.0,168788000000.0,
Reconciled Cost Of Revenue,1577127000000.0,1503728000000.0,1594717000000.0,1206425000000.0,
EBITDA,980462000000.0,928657000000.0,1235333000000.0,865908000000.0,
EBIT,742105000000.0,701038000000.0,1021701000000.0,697120000000.0,
Net Interest Income,86732000000.0,67959000000.0,15085000000.0,1393000000.0,
Interest Expense,,1501000000.0,1490000000.0,983000000.0,728000000.0
Interest Income,86732000000.0,67959000000.0,16575000000.0,2376000000.0,
Normalized Income,532998186000.0,515724510000.0,711910680000.0,500948028000.0,
Net Income From Continuing And Discontinued Operation,534021000000.0,520140000000.0,708238000000.0,500117000000.0,
Total Expenses,1819143000000.0,1713899000000.0,1810622000000.0,1398105000000.0,
Total Operating Income As Reported,742105000000.0,701038000000.0,998202000000.0,676322000000.0,
Diluted Average Shares,1983143939.0,2007255046.0,2037450016.0,2079056329.0,
Basic Average Shares,1981378005.0,2005088470.0,2036096654.0,2077245000.0,
Diluted EPS,269.28,259.13,347.61,240.55,
Basic EPS,269.52,259.41,347.84,240.76,
Diluted NI Availto Com Stockholders,534021000000.0,520140000000.0,708238000000.0,500117000000.0,
Net Income Common Stockholders,534021000000.0,520140000000.0,708238000000.0,500117000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,534021000000.0,520140000000.0,708238000000.0,500117000000.0,
Minority Interests,-46080000000.0,-45020000000.0,-55382000000.0,-24914000000.0,
Net Income Including Noncontrolling Interests,580101000000.0,565160000000.0,763620000000.0,525032000000.0,
Net Income Continuous Operations,580101000000.0,565160000000.0,763621000000.0,525032000000.0,
Tax Provision,246128000000.0,230513000000.0,256590000000.0,171105000000.0,
Pretax Income,826229000000.0,795673000000.0,1020211000000.0,696137000000.0,
Other Non Operating Income Expenses,6621000000.0,6810000000.0,15030000000.0,-1872000000.0,
Special Income Charges,-9546000000.0,-12959000000.0,-4910000000.0,-1111000000.0,
Other Special Charges,4228000000.0,-2198000000.0,4910000000.0,1111000000.0,
Write Off,2896000000.0,0.0,,3640000000.0,0.0
Restructuring And Mergern Acquisition,2422000000.0,15157000000.0,0.0,,
Net Non Operating Interest Income Expense,86732000000.0,67959000000.0,15085000000.0,1393000000.0,
Interest Expense Non Operating,,1501000000.0,1490000000.0,983000000.0,728000000.0
Interest Income Non Operating,86732000000.0,67959000000.0,16575000000.0,2376000000.0,
Operating Income,742105000000.0,701038000000.0,998202000000.0,676322000000.0,
Operating Expense,242016000000.0,210171000000.0,215905000000.0,191680000000.0,
Gross Profit,984121000000.0,911209000000.0,1214107000000.0,868002000000.0,
Cost Of Revenue,1577127000000.0,1503728000000.0,1594717000000.0,1206425000000.0,
Total Revenue,2561249000000.0,2414937000000.0,2808824000000.0,2074428000000.0,
Operating Revenue,2561249000000.0,2414937000000.0,2808824000000.0,2074428000000.0,
