,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,360499000000.0,314202000000.0,549925000000.0,307637000000.0,
Repurchase Of Capital Stock,-70070000000.0,-445000000.0,,,
Repayment Of Debt,-186026000000.0,-123345000000.0,-175685000000.0,-272496000000.0,
Issuance Of Debt,596547000000.0,292727000000.0,76397000000.0,215205000000.0,
End Cash Position,155984000000.0,115519000000.0,91047000000.0,97135000000.0,
Other Cash Adjustment Outside Changein Cash,8749000000.0,5953000000.0,36000000.0,1000000.0,
Beginning Cash Position,115519000000.0,91047000000.0,97135000000.0,83436000000.0,
Effect Of Exchange Rate Changes,4960000000.0,7460000000.0,7655000000.0,5295000000.0,
Changes In Cash,26756000000.0,11059000000.0,-13779000000.0,8403000000.0,
Financing Cash Flow,117060000000.0,49725000000.0,-281709000000.0,-191784000000.0,
Net Other Financing Charges,-16791000000.0,137829000000.0,-165159000000.0,-92149000000.0,
Cash Dividends Paid,-105082000000.0,-133674000000.0,-216094000000.0,-51996000000.0,
Net Common Stock Issuance,-70070000000.0,-445000000.0,,,
Common Stock Payments,-70070000000.0,-445000000.0,,,
Net Issuance Payments Of Debt,309257000000.0,46285000000.0,102009000000.0,-44026000000.0,
Net Short Term Debt Issuance,-101264000000.0,-123097000000.0,201297000000.0,13265000000.0,
Net Long Term Debt Issuance,410521000000.0,169382000000.0,-99288000000.0,-57291000000.0,
Long Term Debt Payments,-186026000000.0,-123345000000.0,-175685000000.0,-272496000000.0,
Long Term Debt Issuance,596547000000.0,292727000000.0,76397000000.0,215205000000.0,
Investing Cash Flow,-450803000000.0,-352868000000.0,-281995000000.0,-107450000000.0,
Net Other Investing Changes,-390522000000.0,-267053000000.0,-253491000000.0,-57669000000.0,
Net Investment Purchase And Sale,-45478000000.0,-91516000000.0,-8607000000.0,-52726000000.0,
Sale Of Investment,22465000000.0,22990000000.0,19961000000.0,23213000000.0,
Purchase Of Investment,-67943000000.0,-114506000000.0,-28568000000.0,-75939000000.0,
Net Business Purchase And Sale,-9712000000.0,-39025000000.0,-990000000.0,,
Sale Of Business,1886000000.0,25302000000.0,0.0,,
Purchase Of Business,-11598000000.0,-64327000000.0,-990000000.0,,
Operating Cash Flow,360499000000.0,314202000000.0,549925000000.0,307637000000.0,
Taxes Refund Paid,-53568000000.0,-25111000000.0,-19430000000.0,-6490000000.0,
Interest Received Cfo,165899000000.0,161920000000.0,393108000000.0,242193000000.0,
Interest Paid Cfo,-20415000000.0,-16709000000.0,-17608000000.0,-11560000000.0,
Change In Working Capital,-8568000000.0,-22606000000.0,-17081000000.0,-25207000000.0,
Change In Payable,-22566000000.0,8488000000.0,318000000.0,21033000000.0,
Change In Inventory,1433000000.0,-3124000000.0,-3896000000.0,-16095000000.0,
Change In Receivables,8656000000.0,-4369000000.0,-7774000000.0,-20353000000.0,
Other Non Cash Items,-34434000000.0,-62861000000.0,-14005000000.0,-31539000000.0,
Provisionand Write Offof Assets,,,0.0,1431000000.0,
Depreciation And Amortization,127576000000.0,102473000000.0,94660000000.0,86399000000.0,
Depreciation,127576000000.0,102473000000.0,94660000000.0,86399000000.0,
Gain Loss On Investment Securities,-17632000000.0,-13140000000.0,-9039000000.0,-14959000000.0,
Net Foreign Currency Exchange Gain Loss,54000000.0,-15188000000.0,-16720000000.0,-8369000000.0,
Gain Loss On Sale Of PPE,,,,1431000000.0,6217000000.0
Gain Loss On Sale Of Business,,-10044000000.0,1308000000.0,,
Net Income From Continuing Operations,452735000000.0,295417000000.0,819160000000.0,732993000000.0,
