,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,8956096585.21767,2298982310.912717,-4351392000.0,-771101635.560614,317706835.427608,
Tax Rate For Calcs,0.229185,0.229623,0.232,0.228069,0.294719,
Total Unusual Items,39078000000.0,10012000000.0,-18756000000.0,-3381000000.0,1078000000.0,
Total Unusual Items Excluding Goodwill,39078000000.0,10012000000.0,-18756000000.0,-3381000000.0,1078000000.0,
Net Income From Continuing Operation Net Minority Interest,399426000000.0,290521000000.0,30059000000.0,289233000000.0,276841000000.0,
Net Interest Income,351210000000.0,301471000000.0,307991000000.0,254407000000.0,251382000000.0,
Interest Expense,1117519000000.0,1121100000000.0,962191000000.0,1429672000000.0,1173095000000.0,
Interest Income,1468729000000.0,1422571000000.0,1270182000000.0,1684079000000.0,1424477000000.0,
Normalized Income,369304096585.21765,282807982310.9127,44463608000.0,291842898364.4394,276080706835.4276,
Net Income From Continuing And Discontinued Operation,399426000000.0,290521000000.0,30059000000.0,289233000000.0,276841000000.0,
Diluted Average Shares,,2506490827.0,,,,2534589882.0
Basic Average Shares,,2506490827.0,,,,2534589882.0
Diluted EPS,,115.9,,,,114.14
Basic EPS,,115.9,,,,114.14
Diluted NI Availto Com Stockholders,399426000000.0,290521000000.0,30059000000.0,289233000000.0,276841000000.0,
Net Income Common Stockholders,399426000000.0,290521000000.0,30059000000.0,289233000000.0,276841000000.0,
Net Income,399426000000.0,290521000000.0,30059000000.0,289233000000.0,276841000000.0,
Minority Interests,-1491000000.0,-1139000000.0,-278000000.0,-1072000000.0,-881000000.0,
Net Income Including Noncontrolling Interests,400918000000.0,291660000000.0,30336000000.0,290306000000.0,277721000000.0,
Net Income Continuous Operations,400917000000.0,291661000000.0,30336000000.0,290307000000.0,277720000000.0,
Tax Provision,119204000000.0,86934000000.0,-7489000000.0,85772000000.0,116052000000.0,
Pretax Income,520121000000.0,378595000000.0,22847000000.0,376079000000.0,393772000000.0,
Special Income Charges,39078000000.0,10012000000.0,-18756000000.0,-3381000000.0,1078000000.0,
Other Special Charges,-39078000000.0,-10012000000.0,-4514000000.0,3381000000.0,-1078000000.0,
Gain On Sale Of Security,0.0,0.0,161293000000.0,0.0,0.0,
Selling General And Administration,505442000000.0,460705000000.0,482880000000.0,480654000000.0,425461000000.0,
General And Administrative Expense,505442000000.0,460705000000.0,482880000000.0,480654000000.0,425461000000.0,
Other Gand A,505442000000.0,460705000000.0,482880000000.0,480654000000.0,425461000000.0,
Total Revenue,1030811000000.0,890231000000.0,810685000000.0,964935000000.0,944501000000.0,
Operating Revenue,1030811000000.0,890231000000.0,810685000000.0,964935000000.0,944501000000.0,
Other Non Interest Expense,81399000000.0,82942000000.0,204285000000.0,139465000000.0,158001000000.0,
