,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,1915798000.0,4007410000.0,283088000.0,263510000.0
Tax Rate For Calcs,0.058,0.11,0.026,0.026
Normalized EBITDA,565918000000.0,379767000000.0,920200000000.0,820649000000.0
Total Unusual Items,33031000000.0,36431000000.0,10888000000.0,10135000000.0
Total Unusual Items Excluding Goodwill,33031000000.0,36431000000.0,10888000000.0,10135000000.0
Net Income From Continuing Operation Net Minority Interest,425492000000.0,261651000000.0,796060000000.0,708819000000.0
Reconciled Depreciation,127576000000.0,102473000000.0,94660000000.0,86399000000.0
Reconciled Cost Of Revenue,1457805000000.0,1378965000000.0,1376504000000.0,1117405000000.0
EBITDA,598949000000.0,416198000000.0,931088000000.0,830784000000.0
EBIT,471373000000.0,313725000000.0,836428000000.0,744385000000.0
Net Interest Income,-2579000000.0,1293000000.0,-2795000000.0,-4452000000.0
Interest Expense,18638000000.0,18308000000.0,17268000000.0,11392000000.0
Interest Income,16059000000.0,19601000000.0,14473000000.0,6940000000.0
Normalized Income,394376798000.0,229227410000.0,785455088000.0,698947510000.0
Net Income From Continuing And Discontinued Operation,425492000000.0,261651000000.0,796060000000.0,708819000000.0
Total Expenses,1624618000000.0,1524779000000.0,1503274000000.0,1214304000000.0
Total Operating Income As Reported,150851000000.0,103132000000.0,108709000000.0,55005000000.0
Diluted Average Shares,359231711.0,362874974.0,362420385.0,361463459.0
Basic Average Shares,358581000.0,361971363.0,361183288.0,359778000.0
Diluted EPS,1184.45,721.05,2196.51,1960.97
Basic EPS,1186.6,722.85,2204.04,1970.16
Diluted NI Availto Com Stockholders,425492000000.0,261651000000.0,796060000000.0,708819000000.0
Net Income Common Stockholders,425492000000.0,261651000000.0,796060000000.0,708819000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,425492000000.0,261651000000.0,796060000000.0,708819000000.0
Minority Interests,-978000000.0,-1221000000.0,-2182000000.0,-5335000000.0
Net Income Including Noncontrolling Interests,426470000000.0,262873000000.0,798242000000.0,714154000000.0
Net Income Continuous Operations,426471000000.0,262873000000.0,798243000000.0,714154000000.0
Tax Provision,26264000000.0,32544000000.0,20917000000.0,18839000000.0
Pretax Income,452735000000.0,295417000000.0,819160000000.0,732993000000.0
Other Non Operating Income Expenses,5459000000.0,17975000000.0,2397000000.0,-390000000.0
Special Income Charges,23519000000.0,34671000000.0,10888000000.0,7588000000.0
Other Special Charges,-11034000000.0,-35832000000.0,-11579000000.0,-11092000000.0
Write Off,11221000000.0,1927000000.0,691000000.0,1205000000.0
Restructuring And Mergern Acquisition,-23706000000.0,-766000000.0,0.0,2299000000.0
Net Non Operating Interest Income Expense,-2579000000.0,1293000000.0,-2795000000.0,-4452000000.0
Interest Expense Non Operating,18638000000.0,18308000000.0,17268000000.0,11392000000.0
Interest Income Non Operating,16059000000.0,19601000000.0,14473000000.0,6940000000.0
Operating Income,150852000000.0,103133000000.0,108709000000.0,55006000000.0
Operating Expense,166813000000.0,145814000000.0,126770000000.0,96899000000.0
Gross Profit,317665000000.0,248947000000.0,235479000000.0,151905000000.0
Cost Of Revenue,1457805000000.0,1378965000000.0,1376504000000.0,1117405000000.0
Total Revenue,1775470000000.0,1627912000000.0,1611984000000.0,1269310000000.0
Operating Revenue,1775470000000.0,1627912000000.0,1611984000000.0,1269310000000.0
