,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-2161357200.0,-1242009900.0,1498416000.0,975857400.0,
Tax Rate For Calcs,0.2172,0.2271,0.212,0.1889,
Normalized EBITDA,380536000000.0,378062000000.0,282504000000.0,4424000000.0,
Total Unusual Items,-9951000000.0,-5469000000.0,7068000000.0,5166000000.0,
Total Unusual Items Excluding Goodwill,-9951000000.0,-5469000000.0,7068000000.0,5166000000.0,
Net Income From Continuing Operation Net Minority Interest,153027000000.0,157097000000.0,89477000000.0,-143628000000.0,
Reconciled Depreciation,150660000000.0,144431000000.0,150385000000.0,159621000000.0,
Reconciled Cost Of Revenue,1843542000000.0,1642263000000.0,1403567000000.0,1049414000000.0,
EBITDA,370585000000.0,372593000000.0,289572000000.0,9590000000.0,
EBIT,219925000000.0,228162000000.0,139187000000.0,-150031000000.0,
Net Interest Income,-19634000000.0,-22030000000.0,-24007000000.0,-25046000000.0,
Interest Expense,23359000000.0,23324000000.0,24845000000.0,25343000000.0,
Interest Income,3725000000.0,1294000000.0,838000000.0,297000000.0,
Normalized Income,160816642800.0,161323990100.0,83907416000.0,-147818142600.0,
Net Income From Continuing And Discontinued Operation,153027000000.0,157097000000.0,89477000000.0,-143628000000.0,
Total Expenses,2065217000000.0,1848017000000.0,1587454000000.0,1193451000000.0,
Total Operating Income As Reported,196639000000.0,207911000000.0,120030000000.0,-173127000000.0,
Diluted Average Shares,526372455.0,520844108.0,525840386.0,470339000.0,
Basic Average Shares,470013514.0,468820317.0,470334488.0,470339000.0,
Diluted EPS,290.72,301.62,170.16,-305.37,
Basic EPS,325.58,335.09,190.24,-305.37,
Diluted NI Availto Com Stockholders,153027000000.0,157097000000.0,89477000000.0,-143628000000.0,
Net Income Common Stockholders,153027000000.0,157097000000.0,89477000000.0,-143628000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,153027000000.0,157097000000.0,89477000000.0,-143628000000.0,
Minority Interests,-851000000.0,-1230000000.0,-621000000.0,-1389000000.0,
Net Income Including Noncontrolling Interests,153878000000.0,158327000000.0,90098000000.0,-142239000000.0,
Net Income Continuous Operations,153878000000.0,158327000000.0,90098000000.0,-142239000000.0,
Tax Provision,42688000000.0,46511000000.0,24244000000.0,-33135000000.0,
Pretax Income,196566000000.0,204838000000.0,114342000000.0,-175374000000.0,
Other Non Operating Income Expenses,23140000000.0,17596000000.0,7052000000.0,16136000000.0,
Special Income Charges,-10355000000.0,-2651000000.0,8110000000.0,2225000000.0,
Other Special Charges,6431000000.0,2651000000.0,-8110000000.0,-11582000000.0,
Write Off,3924000000.0,0.0,0.0,9357000000.0,
Restructuring And Mergern Acquisition,,,,,86350000000.0
Net Non Operating Interest Income Expense,-19634000000.0,-22030000000.0,-24007000000.0,-25046000000.0,
Interest Expense Non Operating,23359000000.0,23324000000.0,24845000000.0,25343000000.0,
Interest Income Non Operating,3725000000.0,1294000000.0,838000000.0,297000000.0,
Operating Income,196639000000.0,207911000000.0,120030000000.0,-173127000000.0,
Operating Expense,221675000000.0,205754000000.0,183887000000.0,144037000000.0,
Other Operating Expenses,56435000000.0,53446000000.0,49879000000.0,37189000000.0,
Depreciation And Amortization In Income Statement,15199000000.0,17779000000.0,22113000000.0,25379000000.0,
Depreciation Income Statement,15199000000.0,17779000000.0,22113000000.0,25379000000.0,
Selling General And Administration,98734000000.0,87370000000.0,68991000000.0,46028000000.0,
Selling And Marketing Expense,69815000000.0,61029000000.0,46095000000.0,21906000000.0,
General And Administrative Expense,28919000000.0,26341000000.0,22896000000.0,24122000000.0,
Gross Profit,418314000000.0,413665000000.0,303917000000.0,-29090000000.0,
Cost Of Revenue,1843542000000.0,1642263000000.0,1403567000000.0,1049414000000.0,
Total Revenue,2261856000000.0,2055928000000.0,1707484000000.0,1020324000000.0,
Operating Revenue,2261856000000.0,2055928000000.0,1707484000000.0,1020324000000.0,
