,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-1546272000.0,-612612000.0,891344000.0,1442869471.364648,
Tax Rate For Calcs,0.224,0.187,0.232,0.097183,
Normalized EBITDA,471139000000.0,702917000000.0,240965000000.0,148821000000.0,
Total Unusual Items,-6903000000.0,-3276000000.0,3842000000.0,14847000000.0,
Total Unusual Items Excluding Goodwill,-6903000000.0,-3276000000.0,3842000000.0,14847000000.0,
Net Income From Continuing Operation Net Minority Interest,202087000000.0,403140000000.0,38231000000.0,-43022000000.0,
Reconciled Depreciation,170881000000.0,172046000000.0,155927000000.0,189154000000.0,
Reconciled Cost Of Revenue,3427188000000.0,3267074000000.0,3879591000000.0,2758992000000.0,
EBITDA,464236000000.0,699641000000.0,244807000000.0,163668000000.0,
EBIT,293355000000.0,527595000000.0,88880000000.0,-25486000000.0,
Net Interest Income,-23287000000.0,-21357000000.0,-19558000000.0,-18675000000.0,
Interest Expense,23859000000.0,21576000000.0,19889000000.0,18987000000.0,
Interest Income,572000000.0,219000000.0,331000000.0,312000000.0,
Normalized Income,207443728000.0,405803388000.0,35280344000.0,-56426130528.63535,
Net Income From Continuing And Discontinued Operation,202087000000.0,403140000000.0,38231000000.0,-43022000000.0,
Total Expenses,3427188000000.0,3267074000000.0,3879591000000.0,2758992000000.0,
Total Operating Income As Reported,242045000000.0,343339000000.0,107089000000.0,-53830000000.0,
Diluted Average Shares,,756109053.0,756300692.0,756156000.0,756232000.0
Basic Average Shares,755719681.0,756109053.0,756147930.0,756156000.0,
Diluted EPS,,533.177057,50.55,-56.9,194.65
Basic EPS,,533.177057,50.56,-56.9,194.65
Diluted NI Availto Com Stockholders,202087000000.0,403140000000.0,38231000000.0,-43022000000.0,
Net Income Common Stockholders,202087000000.0,403140000000.0,38231000000.0,-43022000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,202087000000.0,403140000000.0,38231000000.0,-43022000000.0,
Minority Interests,-7049000000.0,-8006000000.0,354000000.0,-2872000000.0,
Net Income Including Noncontrolling Interests,209137000000.0,411146000000.0,37876000000.0,-40150000000.0,
Net Income Continuous Operations,209137000000.0,411147000000.0,37877000000.0,-40151000000.0,
Tax Provision,60359000000.0,94872000000.0,31114000000.0,-4322000000.0,
Pretax Income,269496000000.0,506019000000.0,68991000000.0,-44473000000.0,
Other Non Operating Income Expenses,-4638000000.0,-2892000000.0,-12677000000.0,4832000000.0,
Special Income Charges,-502000000.0,-12484000000.0,-41476000000.0,14847000000.0,
Other Special Charges,,26000000.0,27555000000.0,5510000000.0,
Write Off,502000000.0,12458000000.0,13921000000.0,-20357000000.0,
Net Non Operating Interest Income Expense,-23287000000.0,-21357000000.0,-19558000000.0,-18675000000.0,
Interest Expense Non Operating,23859000000.0,21576000000.0,19889000000.0,18987000000.0,
Interest Income Non Operating,572000000.0,219000000.0,331000000.0,312000000.0,
Operating Income,242045000000.0,343340000000.0,107090000000.0,-53831000000.0,
Gross Profit,242045000000.0,343340000000.0,107090000000.0,-53831000000.0,
Cost Of Revenue,3427188000000.0,3267074000000.0,3879591000000.0,2758992000000.0,
Total Revenue,3669233000000.0,3610414000000.0,3986681000000.0,2705161000000.0,
Operating Revenue,3669233000000.0,3610414000000.0,3986681000000.0,2705161000000.0,
