,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,-450286000000.0,-10307667000000.0,13030148000000.0,9455896000000.0,
Repurchase Of Capital Stock,-418546000000.0,-400156000000.0,-450153000000.0,-158515000000.0,
Repayment Of Debt,-538910000000.0,-223290000000.0,-815754000000.0,-789480000000.0,
Issuance Of Debt,759976000000.0,1115021000000.0,699246000000.0,226091000000.0,
Issuance Of Capital Stock,15661000000.0,2297000000.0,2237000000.0,5399000000.0,
Capital Expenditure,-456701000000.0,-462807000000.0,-401625000000.0,-384003000000.0,
Interest Paid Supplemental Data,,,,,879917000000.0
Income Tax Paid Supplemental Data,,,,,124705000000.0
End Cash Position,109095437000000.0,109875097000000.0,113630172000000.0,110763205000000.0,
Other Cash Adjustment Outside Changein Cash,0.0,4595000000.0,-1900000000.0,-3139000000.0,
Beginning Cash Position,109875097000000.0,113630172000000.0,110763205000000.0,102980711000000.0,
Effect Of Exchange Rate Changes,261988000000.0,2090467000000.0,1089328000000.0,1228889000000.0,
Changes In Cash,-1041649000000.0,-5850138000000.0,1779539000000.0,6556745000000.0,
Financing Cash Flow,-861116000000.0,8307000000.0,-977138000000.0,-1080428000000.0,
Cash Flow From Continuing Financing Activities,-861115000000.0,8308000000.0,-977138000000.0,-1080427000000.0,
Net Other Financing Charges,-146321000000.0,-45810000000.0,-32267000000.0,-29304000000.0,
Cash Dividends Paid,-532976000000.0,-439755000000.0,-380447000000.0,-334619000000.0,
Common Stock Dividend Paid,-532976000000.0,-439755000000.0,-380447000000.0,-334619000000.0,
Net Common Stock Issuance,-402885000000.0,-397859000000.0,-447916000000.0,-153116000000.0,
Common Stock Payments,-418546000000.0,-400156000000.0,-450153000000.0,-158515000000.0,
Common Stock Issuance,15661000000.0,2297000000.0,2237000000.0,5399000000.0,
Net Issuance Payments Of Debt,221066000000.0,891731000000.0,-116508000000.0,-563389000000.0,
Net Short Term Debt Issuance,,,,,-939069000000.0
Net Long Term Debt Issuance,221066000000.0,891731000000.0,-116508000000.0,-563389000000.0,
Long Term Debt Payments,-538910000000.0,-223290000000.0,-815754000000.0,-789480000000.0,
Long Term Debt Issuance,759976000000.0,1115021000000.0,699246000000.0,226091000000.0,
Investing Cash Flow,-186948000000.0,3986415000000.0,-10675096000000.0,-2202726000000.0,
