,2025-03-31,2024-09-30
Treasury Shares Number,97196562.0,159917830.0
Ordinary Shares Number,1466715587.0,1489924119.0
Share Issued,1563912149.0,1649841949.0
Total Debt,208940000000.0,196300000000.0
Tangible Book Value,934472000000.0,966038000000.0
Invested Capital,1618593000000.0,1639890000000.0
Working Capital,668193000000.0,681633000000.0
Net Tangible Assets,934472000000.0,966038000000.0
Capital Lease Obligations,207929000000.0,195277000000.0
Common Stock Equity,1617582000000.0,1638867000000.0
Total Capitalization,1618593000000.0,1639841000000.0
Total Equity Gross Minority Interest,1627359000000.0,1648913000000.0
Minority Interest,9777000000.0,10046000000.0
Stockholders Equity,1617582000000.0,1638867000000.0
Other Equity Interest,486597000000.0,430149000000.0
Treasury Stock,515363000000.0,912493000000.0
Retained Earnings,1606348000000.0,2067761000000.0
Additional Paid In Capital,,13450000000.0
Capital Stock,40000000000.0,40000000000.0
Common Stock,40000000000.0,40000000000.0
Total Liabilities Net Minority Interest,1144893000000.0,1064022000000.0
Total Non Current Liabilities Net Minority Interest,342708000000.0,337639000000.0
Other Non Current Liabilities,8114000000.0,8344000000.0
Non Current Pension And Other Postretirement Benefit Plans,63408000000.0,65630000000.0
Non Current Deferred Taxes Liabilities,90465000000.0,95834000000.0
Long Term Debt And Capital Lease Obligation,164487000000.0,152886000000.0
Long Term Capital Lease Obligation,163476000000.0,151912000000.0
Long Term Debt,1011000000.0,974000000.0
Long Term Provisions,15289000000.0,14314000000.0
Current Liabilities,802185000000.0,726383000000.0
Other Current Liabilities,306506000000.0,282441000000.0
Current Debt And Capital Lease Obligation,44453000000.0,43414000000.0
Current Capital Lease Obligation,44453000000.0,43365000000.0
Current Debt,0.0,49000000.0
Current Provisions,15437000000.0,10505000000.0
Payables,430778000000.0,383448000000.0
Total Tax Payable,53235000000.0,58408000000.0
Accounts Payable,377543000000.0,325040000000.0
Total Assets,2772252000000.0,2712935000000.0
Total Non Current Assets,1301874000000.0,1304918000000.0
Other Non Current Assets,11697000000.0,8492000000.0
Non Current Deferred Taxes Assets,217020000000.0,211273000000.0
Investmentin Financial Assets,163102000000.0,185143000000.0
Long Term Equity Investment,17476000000.0,25513000000.0
Goodwill And Other Intangible Assets,683110000000.0,672829000000.0
Other Intangible Assets,174977000000.0,182487000000.0
Goodwill,508133000000.0,490342000000.0
Net PPE,209469000000.0,201668000000.0
Gross PPE,209469000000.0,201668000000.0
Other Properties,209469000000.0,201668000000.0
Current Assets,1470378000000.0,1408016000000.0
Other Current Assets,77987000000.0,105592000000.0
Accounts Receivable,565069000000.0,540343000000.0
Cash Cash Equivalents And Short Term Investments,827322000000.0,762081000000.0
Other Short Term Investments,18697000000.0,4384000000.0
Cash And Cash Equivalents,808625000000.0,757697000000.0
