,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.289,0.293,0.3,0.3,
Normalized EBITDA,93150000000.0,80446000000.0,74554000000.0,68783000000.0,
Net Income From Continuing Operation Net Minority Interest,45035000000.0,40461000000.0,37301000000.0,33470000000.0,
Reconciled Depreciation,24866000000.0,21433000000.0,20629000000.0,19881000000.0,
Reconciled Cost Of Revenue,436589000000.0,352336000000.0,328232000000.0,305962000000.0,
EBITDA,93150000000.0,80446000000.0,74554000000.0,68783000000.0,
EBIT,68284000000.0,59013000000.0,53925000000.0,48902000000.0,
Net Interest Income,-1988000000.0,-939000000.0,1062000000.0,-493000000.0,
Interest Expense,2737000000.0,1554000000.0,589000000.0,587000000.0,
Interest Income,749000000.0,615000000.0,1651000000.0,94000000.0,
Normalized Income,45035000000.0,40461000000.0,37301000000.0,33470000000.0,
Net Income From Continuing And Discontinued Operation,45035000000.0,40461000000.0,37301000000.0,33470000000.0,
Total Expenses,529943000000.0,423302000000.0,394550000000.0,366594000000.0,
Total Operating Income As Reported,66121000000.0,57004000000.0,51361000000.0,47555000000.0,
Diluted Average Shares,312526024.0,312416030.0,312309327.0,312221214.0,
Basic Average Shares,312526024.0,312416030.0,312309327.0,312221214.0,
Diluted EPS,,129.51,119.44,107.2,107.09
Basic EPS,,129.51,119.44,107.2,107.09
Diluted NI Availto Com Stockholders,45035000000.0,40461000000.0,37301000000.0,33470000000.0,
Net Income Common Stockholders,45035000000.0,40461000000.0,37301000000.0,33470000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,45035000000.0,40461000000.0,37301000000.0,33470000000.0,
Minority Interests,-1459000000.0,-123000000.0,-35000000.0,-28000000.0,
Net Income Including Noncontrolling Interests,46495000000.0,40584000000.0,37337000000.0,33498000000.0,
Net Income Continuous Operations,46495000000.0,40585000000.0,37337000000.0,33499000000.0,
Tax Provision,19052000000.0,16874000000.0,15999000000.0,14816000000.0,
Pretax Income,65547000000.0,57459000000.0,53336000000.0,48315000000.0,
Net Non Operating Interest Income Expense,-1988000000.0,-939000000.0,1062000000.0,-493000000.0,
Interest Expense Non Operating,2737000000.0,1554000000.0,589000000.0,587000000.0,
Interest Income Non Operating,749000000.0,615000000.0,1651000000.0,94000000.0,
Operating Income,66122000000.0,57005000000.0,51361000000.0,47555000000.0,
Operating Expense,93354000000.0,70966000000.0,66318000000.0,60632000000.0,
Other Operating Expenses,3444000000.0,682000000.0,288000000.0,167000000.0,
Selling General And Administration,91515000000.0,70940000000.0,66491000000.0,60780000000.0,
General And Administrative Expense,91515000000.0,70940000000.0,66491000000.0,60780000000.0,
Gross Profit,159476000000.0,127971000000.0,117679000000.0,108187000000.0,
Cost Of Revenue,436589000000.0,352336000000.0,328232000000.0,305962000000.0,
Total Revenue,596065000000.0,480307000000.0,445912000000.0,414150000000.0,
Operating Revenue,596065000000.0,480307000000.0,445912000000.0,414150000000.0,
