,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,575299000000.0,1154990000000.0,128038000000.0,410315000000.0,
Repayment Of Debt,-805510000000.0,-782565000000.0,-1629136000000.0,-1889458000000.0,
Issuance Of Debt,689010000000.0,510104000000.0,1801090000000.0,2262563000000.0,
Issuance Of Capital Stock,377434000000.0,2000000.0,,,
End Cash Position,941432000000.0,564427000000.0,322235000000.0,490491000000.0,
Other Cash Adjustment Outside Changein Cash,2000000.0,,565000000.0,1000000.0,-112000000.0
Beginning Cash Position,564427000000.0,322235000000.0,490491000000.0,291266000000.0,
Effect Of Exchange Rate Changes,6384000000.0,4157000000.0,3921000000.0,2770000000.0,
Changes In Cash,370619000000.0,238035000000.0,-172742000000.0,196454000000.0,
Financing Cash Flow,137673000000.0,-488906000000.0,117104000000.0,318769000000.0,
Net Other Financing Charges,-44437000000.0,-168932000000.0,-10191000000.0,-9749000000.0,
Cash Dividends Paid,-49115000000.0,-44670000000.0,-44659000000.0,-44587000000.0,
Common Stock Dividend Paid,,,,,-44582000000.0
Net Common Stock Issuance,377434000000.0,2000000.0,,,
Common Stock Issuance,377434000000.0,2000000.0,,,
Net Issuance Payments Of Debt,-116500000000.0,-272461000000.0,171954000000.0,373105000000.0,
Net Short Term Debt Issuance,-243000000.0,27000000.0,-145087000000.0,11645000000.0,
Short Term Debt Payments,-266313000000.0,-265294000000.0,-1143688000000.0,-1308591000000.0,
Short Term Debt Issuance,266070000000.0,265321000000.0,998601000000.0,1320236000000.0,
Net Long Term Debt Issuance,-116257000000.0,-272488000000.0,317041000000.0,361460000000.0,
Long Term Debt Payments,-539197000000.0,-517271000000.0,-485448000000.0,-580867000000.0,
Long Term Debt Issuance,422940000000.0,244783000000.0,802489000000.0,942327000000.0,
Investing Cash Flow,-342353000000.0,-428049000000.0,-417884000000.0,-532630000000.0,
Net Other Investing Changes,-447469000000.0,-428377000000.0,-432040000000.0,-522607000000.0,
Net Business Purchase And Sale,9049000000.0,2654000000.0,11228000000.0,4858000000.0,
Sale Of Business,9049000000.0,2654000000.0,11228000000.0,4858000000.0,
Purchase Of Business,,,,,-23702000000.0
Operating Cash Flow,575299000000.0,1154990000000.0,128038000000.0,410315000000.0,
Taxes Refund Paid,-195697000000.0,-32475000000.0,-18635000000.0,-30657000000.0,
Interest Received Cfo,50714000000.0,44343000000.0,28746000000.0,21010000000.0,
Interest Paid Cfo,-33102000000.0,-27140000000.0,-22958000000.0,-20610000000.0,
Change In Working Capital,-122095000000.0,-20330000000.0,-105269000000.0,53984000000.0,
Change In Other Current Liabilities,,,,,-62000000.0
Change In Other Current Assets,,,,,-62000000.0
Change In Payable,74063000000.0,-28690000000.0,-5433000000.0,52147000000.0,
Change In Inventory,-31665000000.0,-4046000000.0,-53827000000.0,-16549000000.0,
Change In Receivables,-110256000000.0,17497000000.0,-96514000000.0,19329000000.0,
Other Non Cash Items,-39718000000.0,178583000000.0,-81945000000.0,-70805000000.0,
Depreciation And Amortization,373102000000.0,360552000000.0,326082000000.0,322516000000.0,
Amortization Cash Flow,41331000000.0,33254000000.0,20015000000.0,27187000000.0,
Depreciation,331771000000.0,327298000000.0,306067000000.0,295329000000.0,
Gain Loss On Investment Securities,8935000000.0,10402000000.0,7846000000.0,9559000000.0,
Gain Loss On Sale Of Business,-61412000000.0,0.0,,,
Net Income From Continuing Operations,594572000000.0,641054000000.0,-5828000000.0,125316000000.0,
