,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,214468000000.0,117880000000.0,52439000000.0,91218000000.0,
Repurchase Of Capital Stock,-49555000000.0,-28391000000.0,-24436000000.0,-234000000.0,
Capital Expenditure,-40805000000.0,-53884000000.0,-47066000000.0,-34363000000.0,
End Cash Position,502091000000.0,526881000000.0,476953000000.0,574655000000.0,
Other Cash Adjustment Outside Changein Cash,,,,,352000000.0
Beginning Cash Position,526881000000.0,476953000000.0,574655000000.0,577919000000.0,
Effect Of Exchange Rate Changes,-9361000000.0,14241000000.0,8715000000.0,14238000000.0,
Changes In Cash,-15429000000.0,35687000000.0,-106417000000.0,-17502000000.0,
Financing Cash Flow,-136618000000.0,-122514000000.0,-127924000000.0,-89154000000.0,
Net Other Financing Charges,-3930000000.0,-4027000000.0,-7003000000.0,-2121000000.0,
Cash Dividends Paid,-83133000000.0,-90096000000.0,-96485000000.0,-86799000000.0,
Net Common Stock Issuance,-49555000000.0,-28391000000.0,-24436000000.0,-234000000.0,
Common Stock Payments,-49555000000.0,-28391000000.0,-24436000000.0,-234000000.0,
Investing Cash Flow,-134084000000.0,-13563000000.0,-77998000000.0,-53929000000.0,
Net Other Investing Changes,-805000000.0,-389000000.0,-5415000000.0,-2379000000.0,
Net Investment Purchase And Sale,-92474000000.0,40710000000.0,-25517000000.0,-17187000000.0,
Sale Of Investment,27526000000.0,50000000000.0,44483000000.0,12012000000.0,
Purchase Of Investment,-120000000000.0,-9290000000.0,-70000000000.0,-29199000000.0,
Net PPE Purchase And Sale,-40805000000.0,-53884000000.0,-47066000000.0,-34363000000.0,
Purchase Of PPE,-40805000000.0,-53884000000.0,-47066000000.0,-34363000000.0,
Operating Cash Flow,255273000000.0,171764000000.0,99505000000.0,125581000000.0,
Taxes Refund Paid,-32363000000.0,-71503000000.0,-78480000000.0,-43332000000.0,
Interest Received Cfo,33198000000.0,25227000000.0,17546000000.0,8056000000.0,
Change In Working Capital,33303000000.0,8811000000.0,-83349000000.0,-86666000000.0,
Change In Other Current Liabilities,,,,,4252000000.0
Change In Other Current Assets,544000000.0,4175000000.0,3105000000.0,-2232000000.0,
Change In Payable,-4480000000.0,-18812000000.0,4632000000.0,2758000000.0,
Change In Inventory,52489000000.0,12556000000.0,-91119000000.0,-74740000000.0,
Change In Receivables,-4613000000.0,24798000000.0,-3375000000.0,-14498000000.0,
Other Non Cash Items,4387000000.0,3939000000.0,-4734000000.0,9253000000.0,
Depreciation And Amortization,46448000000.0,49001000000.0,49189000000.0,47077000000.0,
Depreciation,46448000000.0,49001000000.0,49189000000.0,47077000000.0,
Gain Loss On Investment Securities,,,,,-3427000000.0
Net Income From Continuing Operations,196738000000.0,181755000000.0,230103000000.0,212917000000.0,
