,2025-03-31,2024-09-30
Treasury Shares Number,114743194.0,114755967.0
Ordinary Shares Number,418268052.0,418255279.0
Share Issued,533011246.0,533011246.0
Total Debt,11916000000.0,6969000000.0
Tangible Book Value,224867000000.0,197198000000.0
Invested Capital,232894000000.0,205866000000.0
Working Capital,192604000000.0,168832000000.0
Net Tangible Assets,224867000000.0,197198000000.0
Capital Lease Obligations,5325000000.0,
Common Stock Equity,226303000000.0,198897000000.0
Total Capitalization,229303000000.0,201950000000.0
Total Equity Gross Minority Interest,226303000000.0,198906000000.0
Minority Interest,,9000000.0
Stockholders Equity,226303000000.0,198897000000.0
Other Equity Interest,155000000.0,
Treasury Stock,49963000000.0,49985000000.0
Retained Earnings,204233000000.0,178727000000.0
Additional Paid In Capital,30259000000.0,30259000000.0
Capital Stock,33239000000.0,33239000000.0
Common Stock,33239000000.0,33239000000.0
Total Liabilities Net Minority Interest,86679000000.0,46876000000.0
Total Non Current Liabilities Net Minority Interest,17201000000.0,15632000000.0
Other Non Current Liabilities,2366000000.0,5365000000.0
Non Current Pension And Other Postretirement Benefit Plans,7976000000.0,7214000000.0
Non Current Deferred Taxes Liabilities,46000000.0,
Long Term Debt And Capital Lease Obligation,6813000000.0,3053000000.0
Long Term Capital Lease Obligation,3813000000.0,
Long Term Debt,3000000000.0,3053000000.0
Current Liabilities,69478000000.0,31244000000.0
Other Current Liabilities,16135000000.0,12931000000.0
Current Debt And Capital Lease Obligation,5103000000.0,3916000000.0
Current Capital Lease Obligation,1512000000.0,
Current Debt,3591000000.0,3916000000.0
Pensionand Other Post Retirement Benefit Plans Current,9480000000.0,2633000000.0
Payables,18170000000.0,11150000000.0
Total Tax Payable,15053000000.0,5886000000.0
Accounts Payable,3117000000.0,5264000000.0
Total Assets,312982000000.0,245782000000.0
Total Non Current Assets,50897000000.0,45704000000.0
Other Non Current Assets,6945000000.0,13460000000.0
Non Current Deferred Taxes Assets,8962000000.0,
Goodwill And Other Intangible Assets,1436000000.0,1699000000.0
Net PPE,33554000000.0,30545000000.0
Gross PPE,33551000000.0,30545000000.0
Construction In Progress,2598000000.0,
Other Properties,8049000000.0,19856000000.0
Machinery Furniture Equipment,2131000000.0,
Buildings And Improvements,10745000000.0,10689000000.0
Land And Improvements,10028000000.0,
Properties,0.0,0.0
Current Assets,262082000000.0,200076000000.0
Other Current Assets,7919000000.0,5192000000.0
Inventory,54039000000.0,54860000000.0
Finished Goods,2798000000.0,2185000000.0
Work In Process,50126000000.0,50555000000.0
Raw Materials,1115000000.0,2120000000.0
Accounts Receivable,33341000000.0,14027000000.0
Gross Accounts Receivable,33341000000.0,14027000000.0
Cash Cash Equivalents And Short Term Investments,166783000000.0,125997000000.0
Cash And Cash Equivalents,166783000000.0,125997000000.0
