,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,1674148000000.0,749267000000.0,-298944000000.0,792547000000.0,
Repurchase Of Capital Stock,-285548000000.0,-202974000000.0,-99248000000.0,-88624000000.0,
Repayment Of Debt,-181085000000.0,-128150000000.0,-132198000000.0,-194562000000.0,
Issuance Of Debt,139298000000.0,225176000000.0,361776000000.0,31458000000.0,
Capital Expenditure,-647527000000.0,-623946000000.0,-613635000000.0,-441096000000.0,
Interest Paid Supplemental Data,113260000000.0,97524000000.0,39015000000.0,15450000000.0,
Income Tax Paid Supplemental Data,,,,,119084000000.0
End Cash Position,2980956000000.0,1907113000000.0,1480900000000.0,2049636000000.0,
Other Cash Adjustment Outside Changein Cash,,,,,-582000000.0
Beginning Cash Position,1907113000000.0,1480900000000.0,2049636000000.0,1786982000000.0,
Effect Of Exchange Rate Changes,-19469000000.0,82595000000.0,84937000000.0,94369000000.0,
Changes In Cash,1093312000000.0,343618000000.0,-653673000000.0,168285000000.0,
Financing Cash Flow,-298243000000.0,-210709000000.0,84300000000.0,-336578000000.0,
Cash Flow From Continuing Financing Activities,-298243000000.0,-210709000000.0,84300000000.0,-336578000000.0,
Net Other Financing Charges,172930000000.0,12229000000.0,8147000000.0,-10916000000.0,
Cash Dividends Paid,-115253000000.0,-98620000000.0,-86568000000.0,-74342000000.0,
Common Stock Dividend Paid,-115253000000.0,-98620000000.0,-86568000000.0,-74342000000.0,
Net Common Stock Issuance,-285548000000.0,-202974000000.0,-99248000000.0,-88624000000.0,
Common Stock Payments,-285548000000.0,-202974000000.0,-99248000000.0,-88624000000.0,
Net Issuance Payments Of Debt,-70372000000.0,78656000000.0,261969000000.0,-162696000000.0,
Net Short Term Debt Issuance,-28585000000.0,-18370000000.0,32391000000.0,408000000.0,
Short Term Debt Payments,,,0.0,0.0,-414834000000.0
Short Term Debt Issuance,,,32391000000.0,408000000.0,396500000000.0
Net Long Term Debt Issuance,-41787000000.0,97026000000.0,229578000000.0,-163104000000.0,
Long Term Debt Payments,-181085000000.0,-128150000000.0,-132198000000.0,-194562000000.0,
Long Term Debt Issuance,139298000000.0,225176000000.0,361776000000.0,31458000000.0,
Investing Cash Flow,-930120000000.0,-818886000000.0,-1052664000000.0,-728780000000.0,
Cash Flow From Continuing Investing Activities,-930120000000.0,-818886000000.0,-1052664000000.0,-728780000000.0,
Net Other Investing Changes,48334000000.0,-4429000000.0,9138000000.0,-11083000000.0,
Net Investment Purchase And Sale,-51996000000.0,-2827000000.0,-177581000000.0,-75001000000.0,
Sale Of Investment,46540000000.0,92679000000.0,13548000000.0,16081000000.0,
Purchase Of Investment,-98536000000.0,-95506000000.0,-191129000000.0,-91082000000.0,
Net Business Purchase And Sale,-294417000000.0,-199255000000.0,-282181000000.0,-213009000000.0,
Sale Of Business,0.0,0.0,1221000000.0,64609000000.0,
Purchase Of Business,-294417000000.0,-199255000000.0,-283402000000.0,-277618000000.0,
Net PPE Purchase And Sale,-632041000000.0,-612375000000.0,-602040000000.0,-429687000000.0,
Sale Of PPE,15486000000.0,11571000000.0,11595000000.0,11409000000.0,
Purchase Of PPE,-647527000000.0,-623946000000.0,-613635000000.0,-441096000000.0,
Operating Cash Flow,2321675000000.0,1373213000000.0,314691000000.0,1233643000000.0,
Cash Flow From Continuing Operating Activities,2321675000000.0,1373213000000.0,314691000000.0,1233643000000.0,
Taxes Refund Paid,-300529000000.0,-293997000000.0,-297881000000.0,-269885000000.0,
Change In Working Capital,35432000000.0,-562911000000.0,-1543894000000.0,-1380542000000.0,
Change In Other Working Capital,974763000000.0,1907268000000.0,630855000000.0,112899000000.0,
Change In Other Current Liabilities,99551000000.0,-21954000000.0,241456000000.0,971546000000.0,
Change In Other Current Assets,-1588912000000.0,-2266917000000.0,-1682407000000.0,-2244098000000.0,
Change In Payables And Accrued Expense,121491000000.0,-13303000000.0,-103067000000.0,144829000000.0,
Change In Accrued Expense,,,,,80165000000.0
Change In Payable,121491000000.0,-13303000000.0,-103067000000.0,144829000000.0,
Change In Account Payable,121491000000.0,-13303000000.0,-103067000000.0,126989000000.0,
Change In Tax Payable,,-22491000000.0,4183000000.0,17840000000.0,19164000000.0
Change In Income Tax Payable,,-22491000000.0,4183000000.0,17840000000.0,19164000000.0
Change In Inventory,199916000000.0,75641000000.0,-560382000000.0,-194624000000.0,
Change In Receivables,228623000000.0,-243646000000.0,-70349000000.0,-171094000000.0,
Other Non Cash Items,17384000000.0,-78298000000.0,-104658000000.0,951163000000.0,
Unrealized Gain Loss On Investment Securities,,,,,-247033000000.0
Deferred Tax,,,4183000000.0,17840000000.0,-153427000000.0
Deferred Income Tax,,,4183000000.0,17840000000.0,-153427000000.0
Depreciation Amortization Depletion,1152987000000.0,1144981000000.0,1004590000000.0,835233000000.0,
Depreciation And Amortization,1152987000000.0,1144981000000.0,1004590000000.0,835233000000.0,
Amortization Cash Flow,,,,,273044000000.0
Amortization Of Intangibles,,,,,273044000000.0
Depreciation,,,,835233000000.0,390693000000.0
Operating Gains Losses,-57325000000.0,-105224000000.0,-17962000000.0,-19829000000.0,
Pension And Employee Benefit Expense,,,,,-42936000000.0
Earnings Losses From Equity Investments,20741000000.0,-715000000.0,-17696000000.0,-13934000000.0,
Gain Loss On Investment Securities,-75742000000.0,-73166000000.0,4469000000.0,60402000000.0,
Gain Loss On Sale Of Business,-18426000000.0,-26668000000.0,-4318000000.0,-74613000000.0,
Net Income From Continuing Operations,1473726000000.0,1268662000000.0,1274496000000.0,1117503000000.0,
