,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,208908931000.0,85610912000.0,74823680000.0,87085600000.0,
Tax Rate For Calcs,0.253,0.272,0.32,0.28,
Normalized EBITDA,7924202000000.0,8802138000000.0,5522169000000.0,5533850000000.0,
Total Unusual Items,825727000000.0,314746000000.0,233824000000.0,311020000000.0,
Total Unusual Items Excluding Goodwill,825727000000.0,314746000000.0,233824000000.0,311020000000.0,
Net Income From Continuing Operation Net Minority Interest,4765086000000.0,4944933000000.0,2451318000000.0,2850110000000.0,
Reconciled Depreciation,2251233000000.0,2087066000000.0,2039904000000.0,1821880000000.0,
Reconciled Cost Of Revenue,38458666000000.0,35727007000000.0,30841282000000.0,25407834000000.0,
EBITDA,8749929000000.0,9116884000000.0,5755993000000.0,5844870000000.0,
EBIT,6498696000000.0,7029818000000.0,3716089000000.0,4022990000000.0,
Net Interest Income,245554000000.0,516350000000.0,144928000000.0,195931000000.0,
Interest Expense,84106000000.0,64733000000.0,47356000000.0,32458000000.0,
Interest Income,364628000000.0,454688000000.0,234102000000.0,101512000000.0,
Normalized Income,4148267931000.0,4715797912000.0,2292317680000.0,2626175600000.0,
Net Income From Continuing And Discontinued Operation,4765086000000.0,4944933000000.0,2451318000000.0,2850110000000.0,
Total Expenses,43241118000000.0,39742390000000.0,34429272000000.0,28383811000000.0,
Total Operating Income As Reported,4795586000000.0,5352934000000.0,2725025000000.0,2995697000000.0,
Diluted Average Shares,13252456000.0,13512848000.0,13658382000.0,13887659000.0,
Basic Average Shares,13252456000.0,13512848000.0,13658382000.0,13887347864.0,
Diluted EPS,359.56,365.94,179.47,205.23,
Basic EPS,359.56,365.94,179.47,205.23,
Diluted NI Availto Com Stockholders,4765086000000.0,4944933000000.0,2451318000000.0,2850132000000.0,
Average Dilution Earnings,,0.0,0.0,23000000.0,12569000000.0
Net Income Common Stockholders,4765086000000.0,4944933000000.0,2451318000000.0,2850110000000.0,
Otherunder Preferred Stock Dividend,,,,,-12569000000.0
Net Income,4765086000000.0,4944933000000.0,2451318000000.0,2850110000000.0,
Minority Interests,-24670000000.0,-126488000000.0,-41650000000.0,-24504000000.0,
Net Income Including Noncontrolling Interests,4789755000000.0,5071421000000.0,2492967000000.0,2874614000000.0,
Net Income Continuous Operations,4789755000000.0,5071421000000.0,2492967000000.0,2874614000000.0,
Tax Provision,1624835000000.0,1893665000000.0,1175765000000.0,1115918000000.0,
Pretax Income,6414590000000.0,6965085000000.0,3668733000000.0,3990532000000.0,
Other Income Expense,1373449000000.0,1095801000000.0,798778000000.0,798905000000.0,
Other Non Operating Income Expenses,-43497000000.0,17918000000.0,-78109000000.0,-72461000000.0,
Earnings From Equity Interest,591219000000.0,763137000000.0,643063000000.0,560346000000.0,
Gain On Sale Of Security,825727000000.0,314746000000.0,233824000000.0,311020000000.0,
Net Non Operating Interest Income Expense,245554000000.0,516350000000.0,144928000000.0,195931000000.0,
Total Other Finance Cost,34968000000.0,-126395000000.0,41818000000.0,-126877000000.0,
Interest Expense Non Operating,84106000000.0,64733000000.0,47356000000.0,32458000000.0,
Interest Income Non Operating,364628000000.0,454688000000.0,234102000000.0,101512000000.0,
Operating Income,4795586000000.0,5352935000000.0,2725026000000.0,2995696000000.0,
Operating Expense,4782452000000.0,4015383000000.0,3587990000000.0,2975977000000.0,
Selling General And Administration,4782452000000.0,4015383000000.0,3587990000000.0,2975977000000.0,
Gross Profit,9578038000000.0,9368318000000.0,6313016000000.0,5971673000000.0,
Cost Of Revenue,38458666000000.0,35727007000000.0,30841282000000.0,25407834000000.0,
Total Revenue,48036704000000.0,45095325000000.0,37154298000000.0,31379507000000.0,
Operating Revenue,48036704000000.0,45095325000000.0,37154298000000.0,31379507000000.0,
